verse_key,tap,fr
GEN.31.25,"Labani lu-aamusangile Yakobo, Yakobo waali waimikile liema lyakue mu kyalo kya mpili kya Gileadi, Labani ni bantu bakue ni ye waimikile liema mu kyalo kya mpili kya Gileadi.","Laban atteignit donc Jacob. Jacob avait dressé sa tente sur la montagne; Laban dressa aussi la sienne, avec ses frères, sur la montagne de Galaad."
GEN.31.26,"Labani waamwanine Yakobo, Wakinzembulukilaki watwama ni baana bane banakazi nga banakazi bakwetue ku bului?.","Alors Laban dit à Jacob: Quas-tu fait? Pourquoi mas-tu trompé, et emmènes-tu mes filles comme des captives par lépée?."
GEN.31.27,"Ale wakinzembulukilaki pasili kunghana? Pantu unghanenge, nga nakikulaya bwino. Nga pakiimbua nghimbo ni kombua nghoma pamo ni kulizia bilimba.","Pourquoi as-tu pris la fuite en cachette, mas-tu trompé, et ne mas-tu point averti? Je taurais laissé partir au milieu des réjouissances et des chants, au son du tambourin et de la harpe."
GEN.31.28,Kabili tewakin'mpeela nsambu ya kubalaya nabakumbatila benzikulu bane pamo ni baana bane. Waakikita bintu bimo bya bulubi.,Tu ne mas pas permis dembrasser mes fils et mes filles! Cest en insensé que tu as agi.
GEN.31.29,"Nene ndi ni nsambu ya kukukitila kintu kibiipile, inzi Leza wakua so wakinsoka lukeele busiku kuti nkengele, kabili tekuti nkwane kantu kaweme ao kabiipile.",Ma main est assez forte pour vous faire du mal; mais le Dieu de votre père ma dit hier: Garde-toi de parler à Jacob ni en bien ni en mal!.
GEN.31.30,N'manine nangue uli ni nkulu ya kubwelela kuli so. Ale kiwakiibila baleza bane ni kiki.,"Maintenant que tu es parti, parce que tu languissais après la maison de ton père, pourquoi as-tu dérobé mes dieux?."
GEN.31.31,"Yakobo waamwasukile evi, Nakitiina kukulaya pantu nakimona nangue pange kuti wan'mpoka baana bobe bakazyana mu maka.","Jacob répondit, et dit à Laban: Javais de la crainte à la pensée que tu menlèverais peut-être tes filles."
GEN.31.32,"Kansi kine wasangapo umo pakati ketu wali ni babo baleza bobe, tapalile kuba mukose. Ale iza umone kine pali ni kintu kyobe, kine pakili ukitwame. Yakobo waalandile evio pantu taali wamanine nangue Rakeli i waali waibile baleza bakua Labani.","Mais périsse celui auprès duquel tu trouveras tes dieux! En présence de nos frères, examine ce qui tappartient chez moi, et prends-le. Jacob ne savait pas que Rachel les eût dérobés."
GEN.31.33,"Kupwako, Labani waingila mu liema lyakua Yakobo, ni mu liema lyakua Lea, ni mu liema lya babombi babili banakazi. Momo taasangilemo baleza bakue. Kabili waile kwingila ni mu liema lyakua Rakeli.","Laban entra dans la tente de Jacob, dans la tente de Léa, dans la tente des deux servantes, et il ne trouva rien. Il sortit de la tente de Léa, et entra dans la tente de Rachel."
GEN.31.34,Rakeli i waali watweme babo baleza ba mu nghanda ni kuya wababiikile pensina mpapa i-aali wapanzikile pa nghamia ni kuya waikeelepo. Labani waakebele mu maema onse pasili kumona.,"Rachel avait pris les théraphim, les avait mis sous le bât du chameau, et sétait assise dessus. Laban fouilla toute la tente, et ne trouva rien."
GEN.31.35,"Rakeli waamwanine se nangue, We tawe, tekunfiitilua pantu nsimeene pa ntanzi yobe. Ndimukutiina kwimana pantu ndwele malwele a banakazi. Labani waakilile kukeba pasili kusanga baleza bakue.","Elle dit à son père: Que mon seigneur ne se fâche point, si je ne puis me lever devant toi, car jai ce qui est ordinaire aux femmes. Il chercha, et ne trouva point les théraphim."
GEN.31.36,"Yakobo waakilile kufiitua. Waalandile evi, Eba, nene nakikuluviaki pakuti wize wankonkele wafiitilue mu ozu musango.","Jacob sirrita, et querella Laban. Il reprit la parole, et lui dit: Quel est mon crime, quel est mon péché, que tu me poursuives avec tant dardeur?."
GEN.31.37,"Mu bintu byane byonse biwakebamo, kine wasangamo kintu kyobe, kibiike papa kimonue na bantu bobe ni bantu bane, evi batupingule kine nani ali ni nsambu.","Quand tu as fouillé tous mes effets, quas-tu trouvé des effets de ta maison? Produis-le ici devant mes frères et tes frères, et quils prononcent entre nous deux."
GEN.31.38,"Nakiikala nobe myaka . Mikooko yobe ao mbuzi yobe teyaapulumwine ata livumo, kabili nsyaaliilepo mpanga wa pa bisepe byobe.","Voilà vingt ans que jai passés chez toi; tes brebis et tes chèvres nont point avorté, et je nai point mangé les béliers de ton troupeau."
GEN.31.39,"Naali nakita kine mukooko waipawa na kinama, napyanikiziapo unge. Nsyaali nakuleetela ni kukwana nangue te kilubo kyane. Mikooko yonse yaali yaibua musita wa koba ni musita wa busiku, waali wanomba kuti nkubweziizie.","Je ne tai point rapporté de bêtes déchirées, jen ai payé le dommage; tu me redemandais ce quon me volait de jour et ce quon me volait de nuit."
GEN.31.40,"Musita wa koba naali nazia na lyuza, ni musita wa busiku naali naumina na kasama. Nsyaali nalaala.","La chaleur me dévorait pendant le jour, et le froid pendant la nuit, et le sommeil fuyait de mes yeux."
GEN.31.41,"Evi i vinaemene myaka yonse naali mu nghanda yobe. Pakuti ungufie baana bobe babili, naakubombeele myaka lyanondo ni ina. Kabili naakubombeele myaka mutanda pakuti un'mpeele bisepe bya nama anzia kine waali wa-alulula alulula sie nsazio yane nghendo yonse lyanondo.","Voilà vingt ans que jai passés dans ta maison; je tai servi quatorze ans pour tes deux filles, et six ans pour ton troupeau, et tu as changé dix fois mon salaire."
GEN.31.42,"Kabenge Leza wakua tawe ni Leza wakua Abrahamu, Leza waatiininue na Izaaki, tekuba wali pamo nane, kisinka wewe nga wankumbile kale pasili kun'mpeela kantu. Inzi Leza waamwene maavia ane ni kubomba kunaakubombeele. Kabili wakikusoka lukeele busiku.","Si je neusse pas eu pour moi le Dieu de mon père, le Dieu dAbraham, celui que craint Isaac, tu maurais maintenant renvoyé à vide. Dieu a vu ma souffrance et le travail de mes mains, et hier il a prononcé son jugement."
GEN.31.43,"Labani waamwanine Yakobo, Babo baana banakazi, ni bane. Baana babo ni bo ni bane, ni bebi bisepe ni byo ni byane. Bebi byonse bi umwene ni byane. Inzi evi nsili na buvinde bwa kusunga babo baana bane pamo ni benzikulu.","Laban répondit, et dit à Jacob: Ces filles sont mes filles, ces enfants sont mes enfants, ce troupeau est mon troupeau, et tout ce que tu vois est à moi. Et que puis-je faire aujourdhui pour mes filles, ou pour leurs enfants quelles ont mis au monde?."
GEN.31.44,"Kansi evi, twende tupinghane pakuti kiye kyali kisininkizio pakati kobe ni nene.","Viens, faisons alliance, moi et toi, et que cela serve de témoignage entre moi et toi!."
GEN.31.45,"Kupwako, Yakobo wabuula libue ni kuliimika nga lipumpu.","Jacob prit une pierre, et il la dressa pour monument."
GEN.31.46,"Yakobo waabaanine bantu bakue batoole mabue ni ku-atuulika pepi na lelio libue. Kupwako, Yakobo ni Labani babamba kulia baikeele mumbali mabue.","Jacob dit à ses frères: Ramassez des pierres. Ils prirent des pierres, et firent un monceau; et ils mangèrent là sur le monceau."
GEN.31.47,Pa ezi nkendo Labani waapeenikile Yegari-Sahaduta. Inzi Yakobo wene waapeenikile Galedi.,"Laban lappela Jegar-Sahadutha, et Jacob lappela Galed."
GEN.31.48,"Labani waamwanine Yakobo, Aza mabue i-aakaba kisininkizio kyetu bonse babili. Ni pakako, ozo mului wainikilue Galedi.",Laban dit: Que ce monceau serve aujourdhui de témoignage entre moi et toi! Cest pourquoi on lui a donné le nom de Galed.
GEN.31.49,"ni lelia libue ni lyo lyainikilue Misipa. Pantu Labani waalandile nangue, Yawe aye watukenteleele fwe bonse babili pa tukalekana.","On lappelle aussi Mitspa, parce que Laban dit: Que lÉternel veille sur toi et sur moi, quand nous nous serons lun et lautre perdus de vue."
GEN.31.50,"Labani waalandile evi, Kine ukeemie baana bane banakazi ao kuupilapo bange, anzia kine ne nsikaba namanine, ukamane sie nangue Leza i musininkizi pakati ketu.","Si tu maltraites mes filles, et si tu prends encore dautres femmes, ce nest pas un homme qui sera avec nous, prends-y garde, cest Dieu qui sera témoin entre moi et toi."
GEN.31.51,"Labani waamwanine Yakobo, Mona ozu mului wa mabue ni lipumpu linakiimika pakati kobe ni nene.","Laban dit à Jacob: Voici ce monceau, et voici ce monument que jai élevé entre moi et toi."
GEN.31.52,"Ozu mului pamo ni leli lipumpu biye byali kisininkizio kya kulangulukilako nangue nene nsikataaluka ozu mului ni kwiza kukusakukila, ao wewe kutaaluka ozu mului ni kwiza kunsakukila.","Que ce monceau soit témoin et que ce monument soit témoin que je nirai point vers toi au-delà de ce monceau, et que tu ne viendras point vers moi au-delà de ce monceau et de ce monument, pour agir méchamment."
GEN.31.53,"Leza wakua Abrahamu ni Leza wakua Nahori, ni Leza wa babikolue babo, akatupingule fwe bonse babili. Yakobo waalapile mu Liina lyakua Leza aliwatiinua na se Izaaki.","Que le Dieu dAbraham et de Nachor, que le Dieu de leur père soit juge entre nous. Jacob jura par celui que craignait Isaac."
GEN.31.54,"Yakobo waipaile nama ni kwelela peulu lupili, kabili waakupile bantu bakue kuti balie nakue ozo munani. Pa kyamba, baaleele penka papo peulu lupili.","Jacob offrit un sacrifice sur la montagne, et il invita ses frères à manger; ils mangèrent donc, et passèrent la nuit sur la montagne."
GEN.31.55,"Labani lu-aabuukile paakili lukeelekeele, waakumbatiile baana bakue pamo ni benzikulu ni kubaana bailepo bwino. Kupwako, Labani wabwelela kwakue.","Laban se leva de bon matin, baisa ses fils et ses filles, et les bénit. Ensuite il partit pour retourner dans sa demeure."
GEN.32.1,"Yakobo lu-aali walimukubwelela kwabo, bamalaika bakua Leza baasaakeene nakue.",Jacob poursuivit son chemin; et des anges de Dieu le rencontrèrent.
GEN.32.2,"Yakobo lu-aamwene babo bamalaika waalandile nangue, Leli i libumba lyakua Leza. Ni pakako, pa ezio nkendo wainikilepo Mahanaimu.","En les voyant, Jacob dit: Cest le camp de Dieu! Et il donna à ce lieu le nom de Mahanaïm."
GEN.32.3,"Yakobo waatumine mikenzi kuli mukuluube Esau mu Seiri, mu kyalo kya Edomu.","Jacob envoya devant lui des messagers à Ésaü, son frère, au pays de Séir, dans le territoire dÉdom."
GEN.32.4,"Waabalaiziizie wabaana baye balande nangue, Mubombi obe Yakobo walanda evi, We mukuluamwine, naile kwikala ni Labani nali mweni ezi myaka yonse.","Il leur donna cet ordre: Voici ce que vous direz à mon seigneur Ésaü: Ainsi parle ton serviteur Jacob: Jai séjourné chez Laban, et jy suis resté jusquà présent;."
GEN.32.5,"ni evi naiza nali ni nghombe, ni punda, ni mikooko, ni mbuzi, pamo ni babombi balalume ni banakazi. Nalaizia evio naswapiile kwitabilua na we mukuluamwine.","jai des bœufs, des ânes, des brebis, des serviteurs et des servantes, et jenvoie lannoncer à mon seigneur, pour trouver grâce à tes yeux."
GEN.32.6,"Mikenzi yaizile kubwezia kapingu kuli Yakobo nangue, Twayanga kuli mukuluubo Esau, ni ye alimukwiza kukupokelela wali ni bantu .","Les messagers revinrent auprès de Jacob, en disant: Nous sommes allés vers ton frère Ésaü; et il marche à ta rencontre, avec quatre cents hommes."
GEN.32.7,"Yakobo lu-aunvwile evio, waatoobokele ni kutiina. Ni pakako, waakasaniizie bantu ba-aali nabo pamo ni mikooko, ni mbuzi, ni nghombe, pamo ni nghamia mu mabumba abili.","Jacob fut très effrayé, et saisi dangoisse. Il partagea en deux camps les gens qui étaient avec lui, les brebis, les bœufs et les chameaux;."
GEN.32.8,"Waalandile evi, Kine Esau waiza kusakukila libumba limo, linge lilikupusuka.","et il dit: Si Ésaü vient contre lun des camps et le bat, le camp qui restera pourra se sauver."
GEN.32.9,"Kabili waamulombele Leza walanda nangue, We Leza wakua tawekulu Abrahamu ni wakua tawe Izaaki, we Yawe wanghanine nangue, Bwelela ku kyalo kyobe ni ku lupua lobe evi nkakukitile biweme.","Jacob dit: Dieu de mon père Abraham, Dieu de mon père Isaac, Éternel, qui mas dit: Retourne dans ton pays et dans ton lieu de naissance, et je te ferai du bien!."
GEN.32.10,"Naikeefia ku buwame ni ku kisinka kyobe kiwaanangisiizie ne mubombi obe, pantu mwenzi wa Yordani naawabukile tekuba natweme kantu inga sie kabango, inzi evi nabwela natweme mabumba abili.","Je suis trop petit pour toutes les grâces et pour toute la fidélité dont tu as usé envers ton serviteur; car jai passé ce Jourdain avec mon bâton, et maintenant je forme deux camps."
GEN.32.11,"Nakulomba un'mpususie kuli mukuluamwine Esau, pantu natiina nkeeza kusakukilua, nene ni bakazi bane pamo ni baana bane.","Délivre-moi, je te prie, de la main de mon frère, de la main dÉsaü! Car je crains quil ne vienne, et quil ne me frappe, avec la mère et les enfants."
GEN.32.12,"We Leza languluka bulayo buwandaile nangue waakankitila biweme ni kuvuzia nvyalo yane, ikabe yavulile nga musenga wa mumbali lyezi usili wavinda kupendua na muntu.","Et toi, tu as dit: Je te ferai du bien, et je rendrai ta postérité comme le sable de la mer, si abondant quon ne saurait le compter."
GEN.32.13,"Bobo busiku Yakobo waaleele penka papo. Kupwako, wabuulapo bimo pa bintu bi-aali nabio, evi amutwalile mukuluube Esau kilambu.","Cest dans ce lieu-là que Jacob passa la nuit. Il prit de ce quil avait sous la main, pour faire un présent à Ésaü, son frère:."
GEN.32.14,Waabuulile makota a mbuzi ni tupwata ni mikooko ikota ni mpanga .,"deux cents chèvres et vingt boucs, deux cents brebis et vingt béliers."
GEN.32.15,"nghamia yaali yaonsia pamo ni twana twabo, nghombe ikota ni nghombe ndume lyanondo, punda ikota , ni punda ndume lyanondo.","trente femelles de chameaux avec leurs petits quelles allaitaient, quarante vaches et dix taureaux, vingt ânesses et dix ânes."
GEN.32.16,"Yakobo waakasaniizie bisepe, kubalua kisepe kyaali kyali ni musungi umo. Waabaanine basungi nangue, Ale abuke mwenzi muntangilile, kubalua kisepe kiye kyaenda kyalekenkeene ni kinge.","Il les remit à ses serviteurs, troupeau par troupeau séparément, et il dit à ses serviteurs: Passez devant moi, et mettez un intervalle entre chaque troupeau."
GEN.32.17,"Yakobo waamwanine mubombi wa mambo nangue, Esau pa-aya kusaakaana nobe ni kwipuzia nangue, Wewe uli muntu wakua ni? Kabili ulimukuya pi? Ni ezi nama ikutangiliile ni yakua ni.","Il donna cet ordre au premier: Quand Ésaü, mon frère, te rencontrera, et te demandera: A qui es-tu? Où vas-tu? Et à qui appartient ce troupeau devant toi?."
GEN.32.18,"Uye umwane nangue, Ezi nama ni yakua mubombi obe Yakobo. Wene wamutumina selenzi Esau. Inzi Yakobo alimukwiza pa kyamba kyetu.","tu répondras: A ton serviteur Jacob; cest un présent envoyé à mon seigneur Ésaü; et voici, il vient lui-même derrière nous."
GEN.32.19,"Evi i vya-anine ni musungi wa bubili, ni wa butatu, ni bange basungi ba bisepe. Evi i vyakuti muye mulande pamuya kusaakaana ni Esau.","Il donna le même ordre au second, au troisième, et à tous ceux qui suivaient les troupeaux: Cest ainsi que vous parlerez à mon seigneur Ésaü, quand vous le rencontrerez."
GEN.32.20,"Kabili muye mulande nangue, Mubombi obe Yakobo alimukwiza pa kyamba. Yakobo waali walangakana evi, Bobu bupe bunamutumina, pange bulikumufuukiako mutima evi n'monane nakue ni kungeleela bilubo byane.","Vous direz: Voici, ton serviteur Jacob vient aussi derrière nous. Car il se disait: Je lapaiserai par ce présent qui va devant moi; ensuite je le verrai en face, et peut-être maccueillera-t-il favorablement."
GEN.32.21,Evi i vyaatangiile bupe bwakue. Yakobo waasyele kulaala papo pa tutanda.,Le présent passa devant lui; et il resta cette nuit-là dans le camp.
GEN.32.22,"Bobo bwenka busiku musita wa busiku Yakobo waabuukile, watwama bakazi bakue babili ni babombi bakue banakazi babili pamo ni baana bakue lyanondo ni umo, waya kwabuka pa musalala wa mwenzi wa Yaboki.","Il se leva la même nuit, prit ses deux femmes, ses deux servantes, et ses onze enfants, et passa le gué de Jabbok."
GEN.32.23,Yakobo wa-abusiizie lupua lwakue pamo ni bintu byakue byonse bi-ali nabio.,"Il les prit, leur fit passer le torrent, et le fit passer à tout ce qui lui appartenait."
GEN.32.24,inzi waasyele bunke ku kyamba. Kwaizile muntu umo waabambile kukanzana nakue mpaka ku makia.,Jacob demeura seul. Alors un homme lutta avec lui jusquau lever de laurore.
GEN.32.25,"Ozo muntu lu-aamwene nangue wamwandua, waamukwete Yakobo pa kitungu, kitungu kyakua Yakobo kyaavyukile musita u-ali walimukulua nakue.","Voyant quil ne pouvait le vaincre, cet homme le frappa à lemboîture de la hanche; et lemboîture de la hanche de Jacob se démit pendant quil luttait avec lui."
GEN.32.26,"Ozo muntu waalandile evi, Ndekele ngie naya! Mona pasyabukie. Yakobo waalandile evi, Nsikulekela kine teunan'mpaale.","Il dit: Laisse-moi aller, car laurore se lève. Et Jacob répondit: Je ne te laisserai point aller, que tu ne maies béni."
GEN.32.27,"Ozo muntu waamwipuziizie evi, Liina lyobe uli ni? Wa-asukile nangue, Nene ndi Yakobo.",Il lui dit: Quel est ton nom? Et il répondit: Jacob.
GEN.32.28,"Ozo muntu waalandile evi, Wewe teukiya wakuutua Yakobo pantu wakanzana na Leza ni bantu, ni we wa-anzia. Inzi waya wasyakuutua Izraeli.","Il dit encore: Ton nom ne sera plus Jacob, mais tu seras appelé Israël; car tu as lutté avec Dieu et avec des hommes, et tu as été vainqueur."
GEN.32.29,"Yakobo waamwipuziizie evi, Ale wewe uli ni? Waamwasukile, Wangipuziiziaki Liina lyane? Kupwako, ozo muntu wamupaala Yakobo.","Jacob linterrogea, en disant: Fais-moi je te prie, connaître ton nom. Il répondit: Pourquoi demandes-tu mon nom? Et il le bénit là."
GEN.32.30,"Yakobo waalandile evi, Namonana ni Leza, kabili nasyala nakosele. Ni pakako, pa ezio nkendo wainikilepo nangue, Penueli.","Jacob appela ce lieu du nom de Peniel: car, dit-il, jai vu Dieu face à face, et mon âme a été sauvée."
GEN.32.31,"Koba lukaali kasyatula, Yakobo waafumine pa Penueli ni kubamba kuya wasunkuta pantu waali wavyulilue kitungu kyakue.","Le soleil se levait, lorsquil passa Peniel. Jacob boitait de la hanche."
GEN.32.32,"Ni pakako, Baizraeli i kibasilibaliila buzwazua bwa mu kitungu, pantu pa buzwazua i paakumiiziwe Yakobo ni kuvyulua kitungu.","Cest pourquoi jusquà ce jour, les enfants dIsraël ne mangent point le tendon qui est à lemboîture de la hanche; car Dieu frappa Jacob à lemboîture de la hanche, au tendon."
GEN.33.1,"Yakobo lu-aamumwene Esau walimukwiza pamo ni bantu , waalekenkaniizie baana bakue: Lea ni baana bakue, Rakeli ni baana bakue, ni babombi babili banakazi ni baana babo.","Jacob leva les yeux, et regarda; et voici, Ésaü arrivait, avec quatre cents hommes. Il répartit les enfants entre Léa, Rachel, et les deux servantes."
GEN.33.2,"Waatangiziizie babombi bakue babili pamo ni baana babo, Lea ni baana bakue i baakonkelepo, Rakeli i waali wasyaliile pamo ni Yusufu.","Il plaça en tête les servantes avec leurs enfants, puis Léa avec ses enfants, et enfin Rachel avec Joseph."
GEN.33.3,Yakobo waabatangiliile koku walimukuya wafwinamina pansi mpaka nghendo kilooba ni kuya kufika mu kyeni kyakua mukuluube.,"Lui-même passa devant eux; et il se prosterna en terre sept fois, jusquà ce quil fût près de son frère."
GEN.33.4,"Inzi Esau waile kumusensekela wali lubilo. Lu-aafikile, waamukumbatiile mu mukosi ni kumufyompa, ni bonse babili batendeka kulila.","Ésaü courut à sa rencontre; il lembrassa, se jeta à son cou, et le baisa. Et ils pleurèrent."
GEN.33.5,"Esau akente evi, wamona banakazi baimeene pamo ni baana babo. Esau waipuzia kale, Eba, ale baba bauli nabo ni bani? Yakobo waalandile evi, Baba i baana baapeelue mubombi obe na nkumbu yakua Leza.","Ésaü, levant les yeux, vit les femmes et les enfants, et il dit: Qui sont ceux que tu as là? Et Jacob répondit: Ce sont les enfants que Dieu a accordés à ton serviteur."
GEN.33.6,Babombi banakazi bakua Yakobo pamo ni baana babo baamupalamiine Esau ni kumufwinamina.,"Les servantes sapprochèrent, elles et leurs enfants, et se prosternèrent;."
GEN.33.7,"Lea ni baana bakue ni bo baile kumufwinamina. Pa mpeleezio, Yusufu ni Rakeli ni bo baile kumufwinamina.","Léa et ses enfants sapprochèrent aussi, et se prosternèrent; ensuite Joseph et Rachel sapprochèrent, et se prosternèrent."
GEN.33.8,"Esau waamwipuziizie Yakobo, Ewe, ale belia bisepe binasaakaananga nabio kolia ni byaki? Yakobo waamwasukile evi, Nakituma bebi bisepe pakuti n'mpokelelue na mukuluamwine.",Ésaü dit: A quoi destines-tu tout ce camp que jai rencontré? Et Jacob répondit: A trouver grâce aux yeux de mon seigneur.
GEN.33.9,"Esau wa-asukile evi, Sunga sie bebi bisepe byobe, ni nene wenka nkwete sie bingi.","Ésaü dit: Je suis dans labondance, mon frère; garde ce qui est à toi."
GEN.33.10,"Yakobo waalandile evi, Napaapaata upokelele pakuti kiye kyali kisininkizio kya kulangisia nangue wan'mpokelela. Kumona kunakumona, ni kukonkana ni viwan'mpokelela, na-aluka nga ne wamona lukebu lwakua Leza.","Et Jacob répondit: Non, je te prie, si jai trouvé grâce à tes yeux, accepte de ma main mon présent; car cest pour cela que jai regardé ta face comme on regarde la face de Dieu, et tu mas accueilli favorablement."
GEN.33.11,Nakupaapaata upokelele bobu bupe bwane buwaleetelua pantu Leza wakin'mpaala ni kun'mpeela kubalua kantu. Yakobo waakilile kumupaapaata Esau mpaka wafikiila kupokelela.,"Accepte donc mon présent qui ta été offert, puisque Dieu ma comblé de grâces, et que je ne manque de rien. Il insista auprès de lui, et Ésaü accepta."
GEN.33.12,"Esau waalandile evi, Ale iza twende, ni ne ndikuya nakutangiliile.","Ésaü dit: Partons, mettons-nous en route; jirai devant toi."
GEN.33.13,"Yakobo waalandile evi, We mukuluamwine, umwene baana vibanakile, kabili nene wenka i alimukusunga mikooko ni mbuzi ilimukonsia twana. Ezi nama yane kine yaenda kukila busiku bumo yonse ilikufua.","Jacob lui répondit: Mon seigneur sait que les enfants sont délicats, et que jai des brebis et des vaches qui allaitent; si lon forçait leur marche un seul jour, tout le troupeau périrait."
GEN.33.14,"Ni pakako, wewe tangila sie, ne ozo alimukwiza buke buke kukonkana ni nghendelo ya baana ni bisepe byane. Twakaba kwiza kumonana koko kwenka ku Seiri.","Que mon seigneur prenne les devants sur son serviteur; et moi, je suivrai lentement, au pas du troupeau qui me précédera, et au pas des enfants, jusquà ce que jarrive chez mon seigneur, à Séir."
GEN.33.15,"Esau waalandile evi, Kansi nkusiile baba bantu bandi nabo wize pamo nabo. Yakobo waalandile evi, Ata, ale viwangeleela kale! Wewe endo waya sie.",Ésaü dit: Je veux au moins laisser avec toi une partie de mes gens. Et Jacob répondit: Pourquoi cela? Que je trouve seulement grâce aux yeux de mon seigneur!.
GEN.33.16,"Kupwako, Esau wamusia ni kubwelela ku Seiri.","Le même jour, Ésaü reprit le chemin de Séir."
GEN.33.17,"Yakobo ni ye waile ku Sukoti ku-aakuulile nghanda yakue ni bipata bya nghombe. Ni pakako, pa ezio nkendo i kipalipakuutilua Sukoti.","Jacob partit pour Succoth. Il bâtit une maison pour lui, et il fit des cabanes pour ses troupeaux. Cest pourquoi lon a appelé ce lieu du nom de Succoth."
GEN.33.18,"Yakobo lu-aabwelele kufuma ku Padani-Aramu, waabwelele sie bwino mpaka kuya kufika ku Sekemu mu kyalo kya Kanaani ni kwimika liema lyakue ntanzi ya muzi.","A son retour de Paddan-Aram, Jacob arriva heureusement à la ville de Sichem, dans le pays de Canaan, et il campa devant la ville."
GEN.33.19,"Ezi nkendo i aimikilepo liema, waasitile ku luvyalo lwakua Hamori se kwa Sekemu na shekeli ya mutofue.","Il acheta la portion du champ où il avait dressé sa tente, des fils dHamor, père de Sichem, pour cent kesita."
GEN.33.20,Waakuulilepo kitale ni kwi-inika Eli-Elohe-Izraeli.,"Et là, il éleva un autel, quil appela El-Élohé-Israël."
GEN.34.1,"Dina, se waali Yakobo, ni nghina waali Lea. Waile kupita wapempula bakazyana nakue ba mu kekio kyalo.","Dina, la fille que Léa avait enfantée à Jacob, sortit pour voir les filles du pays."
GEN.34.2,"Sekemu mwana mwalalume mwina Hamori Muhivi, mukulu wa kyalo, lu-aamumwene Dina walimukupita, waamukwete ni kumupatikizia kukumana nakue.","Elle fut aperçue de Sichem, fils de Hamor, prince du pays. Il lenleva, coucha avec elle, et la déshonora."
GEN.34.3,Sekemu waawamiinue sana na ozo mukazyana Dina mwina Yakobo. Sekemu waabambile kumubembia ozo mukazyana na twebo tuweme.,"Son cœur sattacha à Dina, fille de Jacob; il aima la jeune fille, et sut parler à son cœur."
GEN.34.4,Sekemu waamwanine se Hamori amutwamine ozo mukazyana kuti abe mukazi wakue.,"Et Sichem dit à Hamor, son père: Donne-moi cette jeune fille pour femme."
GEN.34.5,"Yakobo lu-aunvwile nangue mwana wakue Dina wakipatikiziiwa na Sekemu kuti alaale nakue, taalandile kantu pantu baana bakue balalume baali baile ku kusunga nama mu kisonso. Waapembeele mpaka musita ubaabwelele.","Jacob apprit quil avait déshonoré Dina, sa fille; et, comme ses fils étaient aux champs avec son troupeau, Jacob garda le silence jusquà leur retour."
GEN.34.6,Hamori se kwa Sekemu waile kuli Yakobo kuti alanzyanie nakue.,"Hamor, père de Sichem, se rendit auprès de Jacob pour lui parler."
GEN.34.7,"Baana bena Yakobo lubaunvwile byaakitikile, baabwelele ku muzi, baafiitilue sana pantu Sekemu waakitile bintu bya bulubi mu Izraeli. Bintu bisipalile kukitika.","Et les fils de Jacob revenaient des champs, lorsquils apprirent la chose; ces hommes furent irrités et se mirent dans une grande colère, parce que Sichem avait commis une infamie en Israël, en couchant avec la fille de Jacob, ce qui naurait pas dû se faire."
GEN.34.8,"Hamori waamwanine Yakobo ni baana bakue, Mwana wane Sekemu wamutona sana Dina. Kansi namipaapaata mumupeele nsambu ya kuti abe mukazi wakue.","Hamor leur adressa ainsi la parole: Le cœur de Sichem, mon fils, sest attaché à votre fille; donnez-la-lui pour femme, je vous prie."
GEN.34.9,"Tunvwane sie kuti tuye twaufyania. Tupeele baana benu banakazi, ni fwe tumipeele baana betu banakazi.","Alliez-vous avec nous; vous nous donnerez vos filles, et vous prendrez pour vous les nôtres."
GEN.34.10,"Kuti mwaikala pamo ni fwefue mu keno kyalo. Kuti mwaikala konse kumwatona kwikala, ni kusuluzia kyonse kimwatona kusuluzia ni kwikwatila kazonga kenu.","Vous habiterez avec nous, et le pays sera à votre disposition; restez, pour y trafiquer et y acquérir des propriétés."
GEN.34.11,"Sekemu waamwanine se kwa Dina ni bakuluube, Namipaapaata kuti mungitabile, ni nene ndikumikitila kyonse kimulikutona kuti n'mikitile.","Sichem dit au père et aux frères de Dina: Que je trouve grâce à vos yeux, et je donnerai ce que vous me direz."
GEN.34.12,"Anzia munundila mutengo ni bupe, ndikumipeela byonse bimulikun'mpingula, inzi mun'mpeele nsambu ya kuupa ozu mukazyana Dina kuti abe mukazi wane.","Exigez de moi une forte dot et beaucoup de présents, et je donnerai ce que vous me direz; mais accordez-moi pour femme la jeune fille."
GEN.34.13,"Inzi pantu Sekemu waamupatikiizie Dina kukumana nakue, baana bena Yakobo baamwasukile Sekemu pamo ni Hamori mu bukengezi.","Les fils de Jacob répondirent et parlèrent avec ruse à Sichem et à Hamor, son père, parce que Sichem avait déshonoré Dina, leur sœur."
GEN.34.14,"Baalandile evi, Fwefue tetuvinda kuufia nkazyetu ku bantu basiteetelue yando. Keki ni kya busoni kuli fwefue.","Ils leur dirent: Cest une chose que nous ne pouvons pas faire, que de donner notre sœur à un homme incirconcis; car ce serait un opprobre pour nous."
GEN.34.15,"Inzi kine mwaitabila kuya mwateetua yando nga fwefue, kuti twaitabila kuti muye mwaupila kono kwetu.","Nous ne consentirons à votre désir quà la condition que vous deveniez comme nous, et que tout mâle parmi vous soit circoncis."
