fra	nnb
Ne prépare aucun argument logique pour la discussion si ton contradicteur ne comprend que les coups de pieds.	Sighuthekanaye ekyosi busana nobuhaka omutswebi waghu amabya inyakowa ebishindo bisa.
Nous savons parfaitement où nos développements vont nous mener. D'ailleurs, dans l'équipe, chacun fait ce qui lui plaît.	Tunasi oho obukake bwethu bukendi thukolya. Nibya, omo kipia, bulimundu akakola ekyanzire.
En somme, nous vous offrons une seconde chance : nous faisons table rase de votre passé de criminel pour vous permettre de commencer une nouvelle vie.	Okondulhi thukathasyabaha olukoho lwakabiri ebyobwithi bwaghu  thulhekerebyo aho imowathasya tsuka eribyaho rihyaka.
Ali et Lana étant partis au cinéma, je suis restée surveiller Alan.	Ali na Lana mobakaya eyiri ebisasamira, mongasighala ngalhebya Alan.
Pourtant le Japon est encore insuffisamment compris des autres pays, et les Japonais, trouvent également les étrangers difficiles à comprendre.	Ikwa ekihugho ekye Japane sikyathalhiwa nabindi bihugho, nabanya Japane sibalhyowa abakalwa ehihya.
Il faut rappeler aux nations croissantes qu'il n'y a point d'arbre dans la nature qui, placé dans les meilleures conditions de lumière, de sol et de terrain, puisse grandir et s'élargir indéfiniment.	Kumbe imwibukya ebihanda ebikusuka kosihalhi, omo kihugho, omuthi owathekirwe omo kyakakala, nomokithatha, neryo inyusuka kutsibu .
Les gens disent que je rêve toutes les nuits mais si je le fais, je n'arrive jamais à me rappeler aucun de mes rêves.	Abandu bakahula esyonzoli esyekiro, alhiwe namakolasyo, sindihika  nokokika ekyeribukasyo.
Le cinéma américain est marqué par de grands acteurs juifs tels que Paul Newman, Harrisson Ford, Sean Penn, Kirk Douglas, Woody Allen, Jake Gyllenhaal, Dustin Hoffman, Scalett Johansson...	Ebisasamira ebye buamerika birimo nduhi sye buyahudi nga Paul New man, Harriossonford, Sean Penn, Douglas, Woody Allen, Jake Gyllenhaal, Dustin Hoffman, Scalett Johansson...
L'amour rend aveugle, mais le mariage ouvre les yeux.	Olwanzo lukalheka omundu inyabyandimethime, alhiw'endwa yika kingula  oko mundu kwameso.
Kate Middleton est désormais Son Altesse Royale la princesse William Arthur Philip Louis, duchesse de Cambridge, comtesse de Strathearn, baronne de Carrickfergus, maître ès arts.	Kate Middleton yo wambai mughole wiwe, nayo William Arthur Philip Louis, ekirimu kye Cambridge, comtesse de Strathearn, omutheke we Carrickfergus, maître ès arts.
Le crambé maritime, qui a un délicieux goût de choux fin à la noisette, est pourtant en voie de disparition, parce que sa culture est difficile à industrialiser, alors que Louis XIV l'exigeait dans son potager.	E swa yomo maghetse, asihire ngeswa, akasondi erihera, busana ekerya yayo yikalhire eribika, omughulu Louis XIV abya akasababyo omo.
One yours is worth more than two you will have.	Akaghu ko kaghu butsira hibiri, ukandi syabya nako.
Certains se donnent beaucoup de mal pour avoir une coupe de cheveux faussement négligée, tellement bien apprêtée, qu'on ne pourrait imaginer pouvoir reproduire le négligé naturellement.	Abanzi bakayikandanga eriyira okonzwiri esikaghonerawa, nero isi teghekanibwe ndeke, ngomundi isianga lengakania nga syanga lassa.
"De tous ceux qui ont appelé Christophe Colomb ""Chris"", aucun n'a survécu assez longtemps pour le refaire."	"Omobosi ababirikira Christophe Colomb mo ""Chris"", sihalhi oyowabugha ebirimo erithasyakolabyo."
Mon père m'a refusé un cadeau d'anniversaire, parce que je n'accepte pas sa nouvelle copine.	Thata waye mwanighanir'ebihembo oko kirokyebukamabutwa waghe kundi nabira hana omukali wiwe muhiaka.
C'est un type gentil et sympa.	Nimu lwana oyuwene.
Après un assez long séjour en Épire, le héros se rembarque et va toucher la côte d'Italie, où, suivant les avis d'Hélénus, il fait d'abord un sacrifice à Junon, pour calmer cette déesse ennemie des Troyens.	Enyuma syebiro e Epire, ebahereri mobaghenda neriyahika e Italiano, eyo mobakwama ebyo Hélenus mwakayi herera kwanza oko Junon, erikiranya omulhimu wenzighu ya Troyens.
Vous devez avoir rendu votre devoir d'ici jeudi sans faute.	Kumbe omokiro kya Kani mubye imwabirikola emibiri yenyu butsira kahinira.
C'est bien la pire folie que de vouloir être sage dans un monde de fous.	Nirisire eribya mwenge omo kihugho kyabasire.
Catherine le regarda un moment en silence. Elle devait le trouver joli, avec son visage fin et ses moustaches noires.	Catherina mwabasamalira bukuthu omondambi nge. Angakisungire kibuya, nobusu buwe nobweya bwe kirima.
L'avocat de la défense n'est pas responsable de l'opinion qu'il présente durant l'accomplissement de la défense.	Omusosi syalhibya mwenye bulhengekanya omughulu akabugha.
Le simple fait que tu aies trouvé ces choses dans l'ordinateur ne signifie absolument pas que tes parents ont des problèmes relationnels ; les relations entre adultes sont plus compliquées qu'il n'y paraît au premier abord.	Ekyolokyolo kyerisunga ebindu ebi omo kompyuta, sibibwhambu ababuthi baghu bawithe mbanza; obughambulhirane omokathi kabakulhu bukalhire.
Adam et Clémentine, mariés au mois de décembre 1835, étaient allés, après avoir passé l'hiver à Paris, en Italie, en Suisse et en Allemagne pendant l'année 1836.	Adamu na Clémentine, abalhunga oko mukera  we kirerembyo 1835, mobayire, babibugha omukera we mbeho ye Paris, e Italie, e Suisse ne Allemagne okomwaka 1836.
Il a regardé à gauche puis à droite ensuite il a traversé la rue.	Mwakalebay'okulhi nokulhembe neryo mwakakiruka engenda.
Si possible, j'aimerais recevoir de nouvelles informations sur ce dossier.	Byamathokekana, nganza nyibye nemyatsi mihyaka eyi lhebirye edosyo eyi.
Ce site Web recueille et utilise notre information personnelle, entre autres, pour la création de compte, l’administration interne, le marketing, pour nous envoyer des informations publicitaires et pour l’analyse de données.	Ekibuthe web eki kikakumakuma nerikolesha esyongulu syethu, nge  erikokotia enyuma enunga, obuthabalhi obwe mwisi, ebyo buhingania,  erithuthumira esyongulu esyo buhingania neritheghereria emyatsi.
Les politiciens sont bien les mêmes partout dans le monde. Ils promettent de construire un pont même lorsqu'il n'y a strictement aucun fleuve.	Ebapolitika nibaghumerera omokihugho kyosi. Bakalahiraya eri himb'ekilálo omughulu sihalhi nolusi.
Apprends d'abord tes leçons et ensuite tu pourras sortir t'amuser.	Igha kwanza ebyaghu mo ukandi huluka eriya tsanga.
Quand il finit de parler avec sa mère, il rentre directement dans la chambre qui se trouve au dessous du salon.	Abere abugha erikania  nanyinya, mwasaba omokisenge kiwe ekiri  ekabuno syekiseng'ekyerilhiramo.
"L'ours noir et blanc qui vit dans les montagnes de Chine et du Tibet est appelé ""panda""."	"Enyama yo moli, eyo mulhima nomusohe eyabya ikabuk'omo bithwa by'e Chine neTibet yikahulawamo ""panda""."
Timéo venait juste de téléphoner à son esthéticienne, quand Marie a senti ses joues brûler de jalousie.	Timeo alwe imwanabirikira okomukengereghesania wiwe, omughulu  amathema wa Maria alhyusulamo eritsuro.
Il portait une chemise rayée de blanc et de bleu, un foulard assorti, une chaîne d'or sur le cou et une épée de valeur sous le bras gauche.	Abye ambith'ekisomeko ekyemirera ekyomusohe nomutheghulhe, omusarandwe, obusanga obwe horo omobikya no muyalhi owendundi nene omo byalabiwe ebya mulhi.
Carl Sagan a rassemblé sur un disque des informations à propos de notre planète et l'a envoyé dans l'espace, de telle sorte que d'autres êtres intelligents le trouvent.	Carl Sagan mwaka kumakuma esyongulu syokokalhilhiki esilhebirye  ekihugho kyethu nabathumawa omokyanya, omo kika abandi bandu  abamenge bangasungabyo.
J'avais une longue à cœur alors il était clair que j'allais me faire couper.	Nabya nobulhighe oko muthima nerio kyabya ikinayi langirire konangayayithwa.
À en juger d'après ce superbe bronzage, il semble que tu aies passé l'essentiel de tes vacances à la plage.	Okwilangira ngoko wamatakata, bikathokekana nga walabiry'enduhuke  yaghu oko mukekethyo ogholusi.
""" Alors, renouvelant nos questions avides, / ignorant l'art affreux que cachaient ses discours, / longtemps nous le pressons d'en poursuivre le cours. """	""" Nerio, erithasya bindul'amabulhyo wethu,/ eribirirwa omubiri ogho buba ogho aby'abisirwe omomikanya  yiwe,/ kera thukalhengekanya  ngathwangasyayifunzabyo. """
Les forces d'occupation ont utilisé des bombes à fragmentation ainsi que des bombes au phosphore blanc dans des zones habitées par des centaines de milliers de civils.	Obulhasi bukakolhesaya embundu nenenen'esyosio nungu haghuma  nesyamabwe aghomokithaka omobithatha byabikalani.
Après avoir pris congé du ministre de la guerre, Bolkonsky partit dans la nuit avec l’intention de rejoindre l’armée, qu’il ne savait plus où trouver, et avec la crainte de tomber entre les mains des Français.	Enyuma syerighabana nomukulu oghobulhasi, Bolkonsky mwaghenda  omokiro omwilhengerera ryeri suba omobulhasi, obwabya isyasi  ohobwanga banika, nobuba obweri thogher'omobyala ebyabya franza.
C'est justement la raison pour laquelle je n'ai aucun intérêt pour l'art.	Ekikalhek'inathabya nandundi nomukolhi owebyala kyekyo.
Répandu en Europe et un peu partout dans le monde, le mouron blanc est une plante très commune en France.	Iyi tsangangire omo ulaya yosi nomo kighuho, eyi ka hulawamo mouron blanc ni rihereko rika sungika kanzi kanzi ebufaranza.
Le boulot lui rapporte un demi million de yens par mois.	Omubiri akamulhethera hakuhi enusuye kighonye kighuma ekyolumbuka lwesyo yens okobulhi mwisi.
Les voisins disent que Marie bat son mari.	Abahimbani bakabughabathi Maria akahunza ibawiwe.
Les meilleurs médecins du monde sont: Le Docteur diète, le docteur Tranquille et le docteur Joyeux.	Abanganga babuya omo kighugho kyosi ni : omutahwa oghomukania, omutahwa owobuthekane, omutahwa oyo tsangire.
Le personnage de gauche gâche l'unité du tableau.	Omu̧lıţ́o wemalhi akatsanday'obughuma obwomusakirwe.
C'est quand même génial de disposer d'un portable quand les premiers beaux jours arrivent et qu'on peut faire du Tatoeba au chant des oiseaux.	Kyowene eribya ne simu omughulu ebiro ebyowene ebyerimbere bikahika nakandi kowanganakola e Tatoeba okolwimbo lwe syonyunyu.
L'amour aussi doit s'apprendre et s'essayer et on ne rencontre pas toujours immédiatement le partenaire pour la vie.	Olwanzo nalolwaighwa neripipmwa nakandi sibisangana ahonah'oyo omundu oyo ukendisyabya mwira waghu.
Je peux vous mentir, mais si vous voulez la vérité, on n'a pas encore trouvé la personne qui tiendrait même une minute devant les questions de leur chercheur.	Nangana kutheba, alhiwe wamabya ighuka ronday'ekwenene,  sihalhihasungwa omundu oyukendi byaho omo dakika nguma oko mabulio wobutsopolya bwabo.
Ce mec me rend dingue.	Omulume oyu akangiramo musire.
"""Je l'accepte seulement, pour que vous ne croyiez pas que je suis impoli."" Il dit cela avec la mine apeurée d'une victime, dit l'employé, mais dans ses yeux on pouvait lire les mots ""Vive la corruption!""."	"""Namaligha, ngisiwa lengekania uti singwit'adabu."" Akabugh'ebyo nga mundu oyu akwir'obuba, mwabwiryata omukholi, alhiwe omomeso wiwe itwanga somamo ebinywa ""Ekithulirokiuwene!""."
J'aurais pu répondre à toutes les questions difficiles. Mais le professeur dit qu'il voulait me poser quelques questions simples. Et ça a complètement foiré.	Nanganasubirye oko mabulhyo aghosi awakalhire. Alhiwe omukangirirya mwaka bugha athialwe anzire iniambulhya amabulhio ogholoberere. Nerio ebyosi mo biatsanda.
Ça aurait été sympa si Timéo avait écouté ce que je disais plus attentivement.	Kyangabere kyabusu nga Timeo angowire ebyonyilwengabugha.
Sans raison, l'amour effectif des hommes manque tout autant sa cible que la haine des hommes dépourvue de puissance.	Butsira ekilheka, olwanzo olwabalume lukabula obuyo oko ritsuro  eryabalume abathawithe kaghala.
Aux accents douloureux de sa voix gémissante, / je pleure, je réponds en sons entrecoupés / par quelques mots sans suite et sans ordre échappés:	Oko mirenge eyamaghali,/ ngalhira, ngasubiraya omomulhenge owaka thwikathwika / omo binywa bighuma butsira ehamulhi na buthondekane:
Il ne faut avoir aucun regret pour le passé, aucun remords pour le présent, et une confiance inébranlable pour l'avenir.	Isihasyathabya eriwekara ebyenyuma, sihalhi mbitha okobiri hathya, nerikala oko bikasa.
Enfourner à 240°C (thermostat 8), et baisser au bout de 5 min à 200°C (thermostat 6-7) ; laisser encore 10 min. Bien surveiller la cuisson !	Ibine omokihuhania 240ᵒ C nerikima omo mathondi tanu oko 200ᵒC; lheka omomathondi ikumi. Utheghereraya ndeke omuhuko !
C'était parfaitement clair, j'ai compris toute l'explication du problème.	Kilwe ikinayi langirire, mongowa ekyalekire ekyolubanza.
C'est le vrai génie de l'Amérique: que l'Amérique puisse changer. Notre Union peut se perfectionner. Ce que nous avons réalisé jusque-là nous donne de l'espoir quant à ce que nous pouvons et devons réaliser demain.	Ryerithegheko rikulu erye Amerika : Eamerika yangabinduka. Obughuma bwethu bwanganayikokothya. Ekyothwabirikola erihika aho kikathuha eriyikethera ebilhebirye ebyothwangakolhire omonzakya.
Roger Miller a commencé à écrire des chansons, parce qu'il aimait la musique qu'il entendait à la radio.	Roger Miller abiritsuka erisaka esyonyimbo, busan'anzire ehishimo ehia ba akowa okokinimba.
J'ai vu le gars sauter par-dessus la clôture et s'enfuir en courant.	Mongalangira abalume bakathwira ebika byendatha okoluba neryo  banemuthibitha.
Pourtant, malgré toute cette étrange apparence d'humilité et ce mépris pour la raison humaine, il s'aventure dans les suppositions les plus audacieuses.	Mwalhi, oluthuthu olweriyikehia nolwerilhenzialhenzia busana nebireka  ebyo bunyamundu, bakatsangira omomalhengekanya aweri pima.
Le monde est comme une maison à deux portes, tu rentres par ici et tu sors par là.	Ekihugho kiringenyumba syemilango ibiri, ukingirira hano nerio iwasya hulukira halhia.
Les nouvelles de la récente explosion sont partout à la radio.	Esyongulu esyomuhutho muhiaka sine ahosi oko kinimba.
Si tu lui demandes trop directement si elle a un copain, elle va être sur ses gardes et répondre : « Pourquoi tu poses la question ? ».	Ahonaho wmabimubulhia binzi ngwanawithe omwira wiwe, iniakandilu inabya nerikubulia athia : « Ukabulaya ekibulhio ekyo kundiki ? ».
Le jeune avocat vint chercher sa fiancée pour l'emmener dîner.	Omusosi mubisibisi mwasyaronda omuhukanzumbu wiwe baka sonda  eriyalhya.
Si tu fais triste mine dans ce métier, les clients ne viendront pas.	Wamabya ukahithanira omomubiri oyo, abangaghula kosibangasa.
Je ne vais tout de même pas ranger ma chambre tout de suite, maman ! Enfin, je suis un agent secret et il faut que je sauve le monde !	Sinyanzir'erikokothya ekisenge kyaghe hathiahathia, nyinya ! Okondulia, nyiri mukolhi owekumbo rikatholhera inasabul'ekihugho !
Un homme qui est capable d'admettre qu'il s'est trompé et de demander pardon est un homme digne de mon amour.	Omulume oyo angaligha komwakayitheba nerisaba erighenyera ni mulume oyuswire molwanzo.
Lorsque tu essaies de tout contrôler, tu ne profites d'aucun moment. Détends-toi, respire, lâche prise et vis !	Omughulu ukalhenga erithebya ekyosi, sighubanakabanga nabake  akeribanamo endundi. Luhuka, humula, leka nakandi ubyeho !
La femme est bien dans son droit, et même elle accomplit une espèce de devoir en s'appliquant à paraître magique et surnaturelle; il faut qu'elle étonne, qu'elle charme; idole, elle doit se dorer pour être adorée.	Omukalhi uwene omo mbangwa siwe, nakandi akaberereraya esyo  ndaghane siwe akabya nganibuthoki ; ritholhere inyasweka, mulhimu  wahi, angayighambya; imwasabwa.
Quand on l'a placé en garde à vue, on savait qu'il allait falloir jouer serré.	Omughulu bakathekagho erilangirwa, babya ibanaasi kwakendisatha.
Il a lu dans mes paroles un message que je n'avais pas prévu.	Mwakasoma omobinywa byaghe mobulhengekanaya ogho nyithalhya  theghekanaya.
Si je perds ma clé, je ne pourrai plus fermer la porte.	Namabiriheria olukinguli lwaghe, isinangasya hinda oluyi lwaghe.
Harry n'arrivait pas à suivre le niveau de la classe.	Harry mwahika okokika isyathasyakwama olulhengo olwekiyiro.
Je croyais que je ne supportais pas la vue de mon visage, mais en y réfléchissant bien, c’est l’image que les autres me renvoient que je ne supporte pas.	Indwengalhengekania ngasinangasyathoka erisika na malangiri waghe, alhiwe erilhengekania kubyo kondeke, nikisasamira ekyo abani babya  bakandumira nekyonithenangathoka erilhebya.
Quand on l'a vu descendre du train avec son bonnet sur la tête et ses gants, on a tout de suite compris qu'elle ne revenait pas de Marseille.	Omughulu thulhia mulolako akakima omo ngurubani nekihukiwe oko muthwe haghuma nebikaswika ebyala, ahonaho mubyalangirika ngoko  akalwa e Marseilles.
Hum. J'ai le sentiment que je vais me perdre, quelle que soit la route que je prenne.	Yaaa. Nangwithe amahangoko ngandihera, mwalhi enzira eyonamimia.
Cependant, quand le soleil du Moyen Âge est tout à fait couché, quand le génie gothique s'est à jamais éteint à l'horizon de l'art, l'architecture va se ternissant, se décolorant, s'effaçant de plus en plus.	Kuliweko, omughulu eryuba ryokomukera owalaba riritho, omughulu  erithegheko rikalhimira eyisirya esyokindu, obukengereghesania bukasa  bukakeha, nerilhima.
Quand bien même je voudrais dire « c'est hors de question! », parfois, je finis malgré moi par répondre « aucun problème! ».	Nomughulu ngasonda eribugha « sibiendi bya bithia ! », kanzikanzi, mongabughira lulhi erisubira indi  « sihali lubanza ! ».
Internet a étendu le rayon d'action de ma vie sexuelle ; un peu comme si j'étais passé aux missiles balistiques.	Ekisengula kyabirisanza amasalalhi wemikoler'eyeribiaho eyo luthetho ; hake ngomunalaba okwambundu nenene.
Jane a sauté les questions auxquelles elle ne savait pas répondre.	Jane mwakakiruka amabulhio owalwe ishangathoka erisubiriako.
La vie appartient aux vivants, et celui qui vit doit s'attendre au changement.	Eribyaho niriabalhiho, noyulhiho angayilhindirira oko mabindulikanya.
Pour certains citadins la campagne est intolérable parce que son silence rejoint leur vide intérieur.	Oko baghuma baghuma abomomulhongo sikyangathokekana busana  obukuthu bwabo bukasuba oko hathe yabo eyemwisi.
Peux-tu arranger le coup pour qu'elle figure dans cette émission de télé ?	Wangana teghekania ekindu kino, okwibya ikya bya omo bisesani ?
Quand tu parles, tu ne fais que répéter ce que tu sais déjà. Mais si tu écoutes, tu pourrais apprendre quelque chose de nouveau.	Omughulu ukabugha, ukasubirira omobio unaasi. Alhiwe mwabi hulhikirira, ukandisyigha bindu bihyabihya.
Le Parc naturel régional de Camargue, vaste zone humide située dans le delta du Rhône, est magnifique !	Oluparake olwe Camargue, kithatha kirimo kitsabadudu ekiri omo kathi ako lusi Rhone, kighambire !
Je vous dirais tout ce que vous voulez si les sons que j'émettais pouvaient être ce que vous entendez.	Ngandikubwira ekyosi ekyabanzire alhiwiwe omulhenge oghongaghusa  amabya ighoghune mwendyowa.
Les groupes sont un bon moyen de partager un centre d'intérêt en petit comité ou avec le monde entier.	Ebikumula ninzira esyowene esyerighabam'ekibuthe kutse nekihugho  kyosi.
Tu verras que tout est devenu très beau et tu pourras présenter quelque chose de vraiment impressionnant aux invités.	Ukandilangira ebyosi kobyowene nerio ukandi kanzia ibindu bihiaka oko bagheni.
Ils étaient prêts à courir le risque de se faire tirer dessus par l'ennemi.	Babia ibanayitheghekenie erithoghera omobuhia bwesyonzighu.
Fais-tu encore confiance à ce type alors qu'il a déjà rompu par deux fois sa promesse ?	Ukinahirire amaha ghomo omughulu abighana kabiri endaghane yiwe ?
Il est d'ordinaire direct et sincère et gagne ainsi la confiance de ceux qui le rencontrent.	Ali molo nakalu nyabya ngo mundu oyuwene oko bandu bossi baka mu langira.
Vous pensez sûrement que vous savez comment faire ça, mais laissez-moi l'expliquer encore une fois.	Ukalhengekanaya uthi unaasi erikola eki, alhiwe lheka nyiku bwire  buhyaka.
Formant une infrastructure d'informations, le réel impact de l'autoroute de l'information est une attente du développement de la nouvelle économie due au passage d'une industrie de matériel informatique tangible à une industrie de logiciels intelligents.	Bikakokothya ekibuthe ekye syongulu, enzumwa ngulu eyesyonzira esyeri  yikokotherya esyongulu nilihindirira eryobukake bobuthunde irilwa  okonzira eye kibuth'ekyebindu ebyomo bukengereghesania.
Ma ville natale se situe à 10 miles (~16 km) au sud de New York.	Omuyiwaghe owamabuthwa alhioko bilometere 16 ekabuno sye NiwiYorko.
L'ancien ministre de l’Environnement est responsable de la hausse de l'essence.	Omulhembya wakera owe bithuthimbweko yonzuko eyakathalhi aka  maghutha eryeruka.
En ce qui concerne le sens, les deux phrases sont - en principe - équivalentes. Cependant, la seconde permet une interprétation plus large.	Ebilhebiry'ebitsuko, emilondo eyibiri yilwiriyabya-ngambe-iyisosene. Alhiwe, owakabiri ngasa lhino lhino isiwaligha esimu.
Une seconde, je reviens tout de suite. Ne raccrochez pas !	Kathambi, ngasa lhinolhino. Isiwatwa !
Énée envoie chercher Ascagne qui était resté sur la flotte; mais Vénus, qui redoute l’inconstance de la reine et la perfidie carthaginoise, pour s’assurer de son cœur prend le parti d’enlever le jeune Ascagne.	Enée akathuma erisondya Axagne oyulhiasighala okomukekethyo, alhiwe akasa, akathikathika oko mugholhe, omuthima wiwe akimaya ekihande ekyerilusia omubisibisi Ascagne.
Ca roule, mon pote ?	Kyamathimba, mundu waghe ?
Lorsqu'il déplaît à un méchant voisin, le plus gentil peut ne pas vivre en paix.	Omughulu syathatsemesya omuhimbani wiwe mubi, omwenge syangasya byahonemirembe.
Si on doit attendre que les flics se pointent, alors on est foutu !	Abandu bamalhinda abakulu abobulhasi batsuk'eriyitheha, nibwambu  ithuli buyira !
Ils ont tiré avec des balles explosives pour tuer.	Mubakakolesaya esyombundu esikahuta omwith'abandu.
"""Pars, emmène les tiens de ces funestes lieux, / du triomphe des Grecs épargne-leur l'insulte : / Ilion te remet le dépôt de leur culte. / Cherche-leur un asile, et qu'au-delà des mers / leur nouvelle cité commande à l'univers ! """	"""Enda, lusay'abo kwiwe bomokathatha kano, / omobushike bwabagriki leka baghende isi beba tsambwa : / Ilion akakusubulhiraya ekighona ekye  misinge yabo. / Baronderaye obwikalo, nahalhi okongetse / obwikalo bwabo buhia bukalebaya ekighugho ! """
J'ai passé des heures à chercher la clé que j'avais laissée tomber.	Mongabughandambi ngarondia olukingulhi olonathoghaya.
Je m'excuse mais je ne pourrai participer en personne à la réunion.	Munganyire alhiwe sinyilwe endisangira okondeko.
Offrir l'amitié à qui veut l'amour, c'est donner du pain à qui meurt de soif.	Eritheka obwira okolhia oyowanzire olwanzo, niha obundu okoyukaghalawa nenyotha.
Mais périsse celui auprès duquel tu trouveras tes dieux ! En présence de nos frères, examine ce qui t’appartient chez moi, et prends-le. Jacob ne savait pas que Rachel les eût dérobés.	Alhiwe akahera olhia mundu oyukandisangako ebyaghu birimu ! Embere syabaghala bethu, sosothaya ebikulhebire okwinze, nerio wimayebo. Yakobo abya isyasi ko Rakelhi mwibabio.
Le coureur le plus rapide ne peut pas courir le 100 mètres en 9 secondes.	Omuthibithi oyo wanguhire syanga thibitha metere ighane okohithondi munane.
Le sentiment de faire l'objet de pitié est horrible.	Omulhimu oweri kola ekindu ekyobughanyiri nighobuba.
Henry James était américain à sa naissance.	Henry James abia munyamerika erilwa okwibutwa riwe.
Il y a du mérite, même chez le législateur atteint d'arriération mentale. Il pose les questions que tout le monde a peur de poser de peur de paraître simple.	Hane kibuya noko bandombe abakwir'iring'isire.  Akabulay'amabulhio agh'obulhi mundu akasagha eribulhia omobuba bweribia molo.
Les Grecs l'ayant poursuivi, il perd sa femme : s'apercevant de son absence, il retourne la chercher ; son ombre lui apparaît, et lui dit que Cybèle la retient dant la Phrygie.	Abagriki erimuhalhika, mwaheria mukalhi : mwaberereria eribula riwe, mwasuba enyum'akaya musondia ; ekitsutsu  kiwe kyama muhulukira, nerimubwira athi Cybele yukaleka inabya e Phrygie.
L'amour n'est-il pas censé durer toujours ?	Olwanzo silwangabugha biro binzi ?
Et tout à coup cette idée de la mort évoqua en lui toute une série de souvenirs lointains et intimes, ses adieux à son père, à sa femme, les premiers temps de son mariage et son amour pour elle !	Ahonah'obulhengekanya ololuhol'olwahulawa molwa mulhethera  amalhengekanya waker'awabenzi wiwe, nerimhuobuholo awendulia  awathatha wiwe, wa mukalhi wiwe, ebiro biwe ebyerimber'ebyendwa  nesyo lwanzo luwe oko mukalhi wiwe !
Si possible, les Japonais semblent préférer choisir un conjoint qui leur ressemble, chercher une situation stable qui assure une promotion lente mais régulière et mettre leurs économies à la banque.	Bika thokekana, abanya Japane bakabya ngabakasombola abira abasosire,  erirondia obuthekane obukathekanaya omubala ghobondola nerihira  esyosende syomobangi.
Maria a acheté à Nathan une copie de « How to Win Friends and Influence People » de Dale Carnegie.	Maria mwakaghula Nathan ekibabe ekye « wangayira ghuthi eribia nabira  banzi eriyira omukululoowe » ya Dale Carnegie.
Pars tout de suite, ou tu seras en retard à l'école.	Enda hathya hathya, kutse ukandi tselhewa ekalhasi.
J'espère que vous ferez un bon somme et que votre migraine va vite disparaître.	Ngalhengekanaya ukandiyira akalendo kanzi nobubonde bwaghu bukandi bulhirana.
Hé les garçons, arrêtez de vous battre. Allez, séparez-vous !	He inywebalwana, mulhek'erilwa. Mughabane !
Il n'y a vraiment aucun peuple qui, lors des cent dernières années, ait enduré autant que les Juifs.	Sihalhi ekihanda ekyo, omughulu we miaka erighana eyalaba, ekyashika kikabya ngekyabayahudi.
J'annule ma réservation pour le vol numéro deux pour New York le dix mai.	Nama neghenia  olughendo lwaghe omorikisakisa eryakabiri eriya eNiwiYorko omobiro ikumi oko mukera w'akahatabánze.
« Dire qu’on peut acheter une clé USB de 64 Go pour 16 euros… On vit une époque formidable. » « Et ce prix aura encore dégringolé dans dix ans… »	« Eribugha uthi omundu anganaghula olukingulhi Usb olwe 64 GO okobihasa 16 esyolusende olwe bufranza… Thuka lab'omokirimo ekyowene. » « Akathalhi ako kanamwendisyakema enyuma sye mikera ikumi... »
« Je fais partie d'un think-tank » « Ah ben j'ignore si tu réfléchis beaucoup, là dans ton cercle, mais ouais, t'es pas mal tankée. »	« Indi mughuma ghomo think-tank » « ngabula ngoghune mulhengekania  kundu, omo kiringo kyaghu, inga thahi, alhiwe ghowe. »
Un être peut-il créer les cinquante milliards de galaxies, chacune d'elles d'une centaine de milliards d'étoiles, et ensuite se réjouir à l'odeur de la viande de chèvre que l'on brule ?	Ekihanzikwa  kyanganakokotya emiliare makumi atanu eye syongununu, obulhi  kighuma kyamo ikiwithe esyongununu erighana nerisyatsemera  ekikumbo ekyenyama eyembene eyikakahalawa ?
Elle était redevenue sombre et bizarre; ses dernières réponses étaient incohérentes ou moqueuses, son cœur s'était refermé.	Mwabia mulhima neribia kithia kithia;  amasabirio wiwe awendulhia abya isyawithe kyakakala kutse bisekwa, omutima wiwe mwayi kinga.
Le suspect s'était caché dans les montagnes pendant trois semaines.	Omuthikwathikwa siwayibisa omobithwa omomayeng'asathu.
Des soufflets appliqués par des mères mécontentes sur la joue de leurs filles, venues en cachette à la danse, retentissaient au milieu des rires de la jeunesse qui avait la permission de s’amuser.	Emihuluko eyirabereribawa nabokoyo abahithene okomathema wabalhi  babo, abalhiasa omokabisam'omomasatha byabia ibine mwowika  omokathi  akamasek'agholulwana ababia bawith'ehamulhi eyeritsanga.
Marie s'est enfermée à clé dans la salle de bains et elle refuse de sortir.	Maria mwakayi kingira omokyoghero na akaghana erilwamo.
C'est sympa de ta part d'essayer de me remonter le moral.	Nisimba okoluhande lwaw'erilhenga erisyanyiha emiatsi.
Évidemment, un jeu comme ça, ça peut avoir des conséquences très graves pour les personnes ayant une paire de chaussettes fleuries à l'intérieur de leur tiroir réservé aux gants à pois bleus.	Nikwenene, amasatha ngayo, anganayira bighuma bibi okobandu  abawithe omukulu mughuma owesyosokise isiri emwisi omo kabathi  ebibikire oko bandu abebilo ebye mutheghulhe.
Je regrette de ne pas vous avoir compris ; vous parlez trop vite.	Namasweka erithendi bowa; ukabugha lubaluba.
Lieutenant, ma patience est plus courte que mon épée.	Lieutenant, erikiriria ryaghe rikalwa luba nakandi nirike oko muyalhi waghe.
Je suis désolé de t'amener tous ces ennuis.	Namasweka eribya imongakulhethera obondola.
Etre raisonnable en toutes circonstances ? Il faudrait être fou...	Eribya mundu oyukalhengekanaya okobulhi kika ? Kumbe iwabya musire...
