verse_key,shr,fr
GEN.37.33,"Yakôbo alola aderha, erhi: «Kanzo ka mugala wâni kano, eciryanyi camulire. Yozefu kulibwa anallîbirwe».","Jacob la reconnut, et dit: Cest la tunique de mon fils! une bête féroce la dévoré! Joseph a été mis en pièces!."
GEN.37.34,"Yakôbo anacibera omwambalo gwâge, akenyera sunzu ajà omu mishîbo yomugala nsiku zirhali nyi.","Et il déchira ses vêtements, il mit un sac sur ses reins, et il porta longtemps le deuil de son fils."
GEN.37.35,"Bagala bâge na bâli bâge boshi bakaziyisha balimurhûliriza, ci kwône arhalonzagya okurhûlirizibwa, ederha, erhi: «Nayôrha ndi omu mishîbo kuhika nyandagalire ekuzimu, emunda mugala wâni ali».",Tous ses fils et toutes ses filles vinrent pour le consoler; mais il ne voulut recevoir aucune consolation. Il disait: Cest en pleurant que je descendrai vers mon fils au séjour des morts! Et il pleurait son fils.
GEN.37.36,"Balya ba Madiyaniti bamuhêka e Mîsiri, bamuguliza Potifari, nkonè ya Faraoni mwâmi we Mîsiri na murhambo wabaganda bâge.","Les Madianites le vendirent en Égypte à Potiphar, officier de Pharaon, chef des gardes."
GEN.38.1,"Mwago mango, Yûda arhenga oku bâbo, ajishiga mulume muguma we Adulami, izîno lyâge ye Hira.","En ce temps-là, Juda séloigna de ses frères, et se retira vers un homme dAdullam, nommé Hira."
GEN.38.2,"Eyo munda, Yûda àbugâna mwâli wa mukanani muguma, mpu ye Shuwa, àsheba olya munyere.","Là, Juda vit la fille dun Cananéen, nommé Schua; il la prit pour femme, et alla vers elle."
GEN.38.3,"Nyamukazi arhôla izîmi, àburha murhabana, amuyîrika izîno lya Eri.","Elle devint enceinte, et enfanta un fils, quelle appela Er."
GEN.38.4,"Ashubirhôla izîmi, àburha murhabana, amuyîrika izîno lya Onani.","Elle devint encore enceinte, et enfanta un fils, quelle appela Onan."
GEN.38.5,Ashubiriza àburha murhabana amuyîrika izîno lya Shela; ho àli aha Kezibu erhi àburha.,"Elle enfanta de nouveau un fils, quelle appela Schéla; Juda était à Czib quand elle lenfanta."
GEN.38.6,Yûda ajishebera enfula yâge Eri: Omukazi ye wali Tamara.,"Juda prit pour Er, son premier-né, une femme nommée Tamar."
GEN.38.7,"Ci kwône Eri, yo nfula ya Yûda, agayisa Nyamubâho, lêro amuyîrha.","Er, premier-né de Juda, était méchant aux yeux de lÉternel; et lÉternel le fit mourir."
GEN.38.8,"Yûda abwîra Onani, erhi: «Jomu mwa mukà mukulu wâwe, omujirire nkoku irhegeko lyobulamu linadesire, oburhire mukulu wâwe».","Alors Juda dit à Onan: Va vers la femme de ton frère, prends-la, comme beau-frère, et suscite une postérité à ton frère."
GEN.38.9,"Ci kwône Onani ali amanyire oku iburha lirhabe lyâge, na ntyo erhi abâga ali nyumpa bo na mukà mukulu wâge, anakazibulagira oku idaho lyo arhagihà mwene wâbo iburha.","Onan, sachant que cette postérité ne serait pas à lui, se souillait à terre lorsquil allait vers la femme de son frère, afin de ne pas donner de postérité à son frère."
GEN.38.10,"Ikola liri ntyo lyagayisa Nyamubâho, amulambika naye.","Ce quil faisait déplut à lÉternel, qui le fit aussi mourir."
GEN.38.11,"Lêro Yûda anacibwîra omwâli-kazi Tamara, erhi: «Ojibêra aha mwinyu nka mukana, kuhika mugala wâni Shela akule». Bulya akazâgiderha emurhima, erhi: «Kurhakwânîni oyu naye afè aka bakulu bâge». Tamara ashubira aha mwîshe.","Alors Juda dit à Tamar, sa belle-fille: Demeure veuve dans la maison de ton père, jusquà ce que Schéla, mon fils, soit grand. Il parlait ainsi dans la crainte que Schéla ne mourût comme ses frères. Tamar sen alla, et elle habita dans la maison de son père."
GEN.38.12,"Ensiku zàgera zirhali nyi, mwâli wa Shuwa, yerigi mukà Yûda, àfà. Erhi Yûda arhenga omu mishîbo, asôkera e Timuna mpu ajimôma ebibuzi byâge, agenda bo nomwîra wâge Hira we Adulami.","Les jours sécoulèrent, et la fille de Schua, femme de Juda, mourut. Lorsque Juda fut consolé, il monta à Thimna, vers ceux qui tondaient ses brebis, lui et son ami Hira, lAdullamite."
GEN.38.13,"Banacibwîra Tamara, mpu: «Lolà oku shazâla oyo wamasôkera e Timuna, ajimôma ebibuzi byâge».","On en informa Tamar, et on lui dit: Voici ton beau-père qui monte à Thimna, pour tondre ses brebis."
GEN.38.14,"Ahogola emyambalo yâge yobukana, ayambala ecitambara, yêshi acîhundikira bwinjà, ajitamala aha muhango gwEnayimi, oku njira ye Timuna. Ali amazânwa nokubona Shela akola mukulu barhanamuhîri ye mpu amuyanke.","Alors elle ôta ses habits de veuve, elle se couvrit dun voile et senveloppa, et elle sassit à lentrée dÉnaïm, sur le chemin de Thimna; car elle voyait que Schéla était devenu grand, et quelle ne lui était point donnée pour femme."
GEN.38.15,"Yûda erhi amubona, amanya mpu mukazi wa cirala, bulya ali acîhundikîre nobusù nobusù.","Juda la vit, et la prit pour une prostituée, parce quelle avait couvert son visage."
GEN.38.16,"Amujaho kulya burhambi bwenjira, amubwîra, erhi: «Oleke nkuyanke». Arhâli amanyire oku mwâlikazi oyo. Nyamukazi anacidôsa, erhi: «Bici wampà lyo nyemera wanyanka?».","Il laborda sur le chemin, et dit: Laisse-moi aller vers toi. Car il ne connut pas que cétait sa belle-fille. Elle dit: Que me donneras-tu pour venir vers moi?."
GEN.38.17,"Naye ashuza, erhi: «Nakuhà omwânahene womu busô bwâni». Nyamukazi, erhi: «Nyêmîre, ci kwône orhangimpa ecikinja oku walinda omuntumira».","Il répondit: Je tenverrai un chevreau de mon troupeau. Elle dit: Me donneras-tu un gage, jusquà ce que tu lenvoies?."
GEN.38.18,"Naye adôsa, erhi: «Bici nakuhà cikinja»? Nyamukazi, erhi: «Ompè akashè kâwe, omugozi gwâwe nako karhî ofumbasire». Amuhà byo, amuja yo, lyanabà izîmi lyâge.","Il répondit: Quel gage te donnerai-je? Elle dit: Ton cachet, ton cordon, et le bâton que tu as à la main. Il les lui donna. Puis il alla vers elle; et elle devint enceinte de lui."
GEN.38.19,"Nyamukazi kuyimuka, arhôla enjira yâge ahogola ecitambara câge, ashubiyambala enyambalo yâge yobukana.","Elle se leva, et sen alla; elle ôta son voile, et remit ses habits de veuve."
GEN.38.20,"Yûda anacirhuma omwânahene, amufumbika olya mwîra wâge we Adulami, mpu agendimurhôlera ebirugu byâge àhânaga cikinja, emwa olya mukazi. Ci kwône arhamushangaga.","Juda envoya le chevreau par son ami lAdullamite, pour retirer le gage des mains de la femme. Mais il ne la trouva point."
GEN.38.21,"Adôsa abantu bayûbaka halya, erhi: «Ngahi akola abà olya mukazi wali oku njira e Enayimi?» Bàmushuza, mpu: «Ntà mango eyo munda ekola ebîre omukazi wecishungu».","Il interrogea les gens du lieu, en disant: Où est cette prostituée qui se tenait à Énaïm, sur le chemin? Ils répondirent: Il ny a point eu ici de prostituée."
GEN.38.22,"Agaluka emunda Yûda ali, amubwîra, erhi; «Ntamushimanyire, ciru nabantu beyo munda bamambwîra oku aho harhasâgibà mukazi muherulwa. Mpu ntà mango eyo ekola ebìre omukazi wecishungu».","Il retourna auprès de Juda, et dit: Je ne lai pas trouvée, et même les gens du lieu ont dit: Il ny a point eu ici de prostituée."
GEN.38.23,"Yûda ederha, erhi: «Abiyôrhanage, kurhakwânîni bajè barhushekera. Ci kwône nioyo nalintumire oyo omwânahene, woyo orhacishimanyire oyu nakurhumagakwo».","Juda dit: Quelle garde ce quelle a! Ne nous exposons pas au mépris. Voici, jai envoyé ce chevreau, et tu ne las pas trouvée."
GEN.38.24,"Erhi hagera nka myêzi isharhu, bàbwîra Yûda, mpu: «Mwâlikazi wâwe Tamara ahemusire. Ciru anarhôla izîmi lyomu bulala». Yûda ederha, erhi: «Mumulêrhe embuga bamuyôce».","Environ trois mois après, on vint dire à Juda: Tamar, ta belle-fille, sest prostituée, et même la voilà enceinte à la suite de sa prostitution. Et Juda dit: Faites-la sortir, et quelle soit brûlée."
GEN.38.25,"Erhi bakola bamudwîrhe embuga, arhumiza emwishazâla, erhi: «Omulume nnebi birugu ye wanjiraga eri izîmi». Erhi: «Olole bwinjà ka ndi aka kashe, ogu mugozi naka karhî».","Comme on lamenait dehors, elle fit dire à son beau-père: Cest de lhomme à qui ces choses appartiennent que je suis enceinte; reconnais, je te prie, à qui sont ce cachet, ces cordons et ce bâton."
GEN.38.26,"Yûda abilolêreza, aderha erhi: «Ali mushinganyanya kundusha, kulya kubà ntacimuhâga mugala wâni Shela». Arhanaciderhaga mpu amushâsa.","Juda les reconnut, et dit: Elle est moins coupable que moi, puisque je ne lai pas donnée à Schéla, mon fils. Et il ne la connut plus."
GEN.38.27,"Erhi ensiku zâge zokuburha zihika, babona oku mahasha gamuli omu nda.","Quand elle fut au moment daccoucher, voici, il y avait deux jumeaux dans son ventre."
GEN.38.28,"Omu kuburha, muguma muli balya bâna alambûla okuboko; omugikulu akugwârha akuyambisa ehigozi hidukula, anaderha, erhi: «Oyu ye yishire wa burhanzi».","Et pendant laccouchement il y en eut un qui présenta la main; la sage-femme la prit, et y attacha un fil cramoisi, en disant: Celui-ci sort le premier."
GEN.38.29,"Ci olya mwâna ashubigalula okuboko, nowâbo abà ye yisha wa burhanzi. Olya mugikulu aderha, erhi: «Oku wamacihâga enjira wâni! Geraga!» Banacimuyîrika izîno lya Peresi.","Mais il retira la main, et son frère sortit. Alors la sage-femme dit: Quelle brèche tu as faite! Et elle lui donna le nom de Pérets."
GEN.38.30,"Owundi naye anacihuluka, ye waliyambîrhe ehigozi hidukula ekuboko; banacimuyîrika izîno lya Zerah.","Ensuite sortit son frère, qui avait à la main le fil cramoisi; et on lui donna le nom de Zérach."
GEN.39.1,"Yozefu àli erhi ahêsirwe e Mîsiri, Potifari murhonyi wa Faraoni mwâmi we Mîsiri na murhambo mukulu wabaganda, Mumisiri, amuguliraga Abaismaeli bàlibamudwirheyo.","On fit descendre Joseph en Égypte; et Potiphar, officier de Pharaon, chef des gardes, Égyptien, lacheta des Ismaélites qui ly avaient fait descendre."
GEN.39.2,"Nyamubâho erhi anali boshi na Yozefu, akàbêrwa na byoshi, anacibêra omu nyumpa yolya nnawâbo Mumîsiri.","LÉternel fut avec lui, et la prospérité laccompagna; il habitait dans la maison de son maître, lÉgyptien."
GEN.39.3,"Nnawâbo abona oku ayimangîrwe na Nyamubâho, noku ngasi ebi adwîrhe ajira byoshi biri byamubêra.","Son maître vit que lÉternel était avec lui, et que lÉternel faisait prospérer entre ses mains tout ce quil entreprenait."
GEN.39.4,"Yozefu arhona ntyo emwa nnawâbo, amuhira omu mikolo yâge, anamuhà oburhegesi bwebyomu nyumpa yâge byoshi.","Joseph trouva grâce aux yeux de son maître, qui lemploya à son service, létablit sur sa maison, et lui confia tout ce quil possédait."
GEN.39.5,"Kurhengera ago mango amujiraga murhambo wenyumpa yâge na mulanzi webyâge byoshi, Nyamubâho agisha enyumpa yolya Mumîsiri, erhi Yozefu orhuma: omugisho gwa Nyamubâho gwagwârha ngasi ebi anajiraga byoshi, omu nyumpa nomu mashwa.","Dès que Potiphar leut établi sur sa maison et sur tout ce quil possédait, lÉternel bénit la maison de lÉgyptien, à cause de Joseph; et la bénédiction de lÉternel fut sur tout ce qui lui appartenait, soit à la maison, soit aux champs."
GEN.39.6,"Lêro ahira ngasi ebi anagwêrhe byoshi omu nfune za Yozefu, arhacishibiriraga mpu ankadôsa kantu kalebe, aha nyuma zebi alya.","Il abandonna aux mains de Joseph tout ce qui lui appartenait, et il navait avec lui dautre soin que celui de prendre sa nourriture. Or, Joseph était beau de taille et beau de figure."
GEN.39.7,"Lusiku luguma enyuma lyaho, mukà nnawâbo alîkira Yozefu kwisù, anacimubwîra, erhi: «Yisha nkubambire».","Après ces choses, il arriva que la femme de son maître porta les yeux sur Joseph, et dit: Couche avec moi!."
GEN.39.8,"Cikwône yêhe alahira, abwîra mukà nnawâbo, erhi: «Lolà oku aga mango ndi hano nnawîrhu arhabà ayôbohire ebiri muno nyumpa yâge, ebyâge byoshi abinangisize.","Il refusa, et dit à la femme de son maître: Voici, mon maître ne prend avec moi connaissance de rien dans la maison, et il a remis entre mes mains tout ce qui lui appartient."
GEN.39.9,Yênene arhagwêrhi buhashe kundusha mweno nyumpa. Ntâco ampanzize kwo aha nyuma zâwe bulya oli mukâge. Kurhi nankajiraga obubî bungana aho nokuhemukira Nyamuzinda?».,"Il nest pas plus grand que moi dans cette maison, et il ne ma rien interdit, excepté toi, parce que tu es sa femme. Comment ferais-je un aussi grand mal et pécherais-je contre Dieu?."
GEN.39.10,"Akazâgishambâza Yozefu ngasi lusiku, ci kwône Yozefu arhayêmêraga okugwîshira aha burhambi bwâge nokumuyanka.","Quoiquelle parlât tous les jours à Joseph, il refusa de coucher auprès delle, dêtre avec elle."
GEN.39.11,"Lêro lusiku luguma Yozefu ayisha omu nyumpa mpu ajire emikolo yâge, nomu bantu bakola muli eyo nyumpa, ntâye wahali.","Un jour quil était entré dans la maison pour faire son ouvrage, et quil ny avait là aucun des gens de la maison."
GEN.39.12,"Olya mukazi amugwârhira oku mushangi amubwîra, erhi: «Yisha nkubambire!» Ci yêhe amulekera cirya cishûli acîlibirhira embuga.","elle le saisit par son vêtement, en disant: Couche avec moi! Il lui laissa son vêtement dans la main, et senfuit au dehors."
GEN.39.13,Erhi abona oku amamulekera ecishûli omu nfune noku amalibirhira embuga.,"Lorsquelle vit quil lui avait laissé son vêtement dans la main, et quil sétait enfui dehors."
GEN.39.14,"ahamagala abakozi bomu mwâge anacibabwîra, erhi: «Loli oku! Arhudwirhirage Omuhebraniya mpu ayishirhusharhirakwo! Oyu mulume amanyishakwo mpu mmubambire, lêro namahamagaza nizù linene.","elle appela les gens de sa maison, et leur dit: Voyez, il nous a amené un Hébreu pour se jouer de nous. Cet homme est venu vers moi pour coucher avec moi; mais jai crié à haute voix."
GEN.39.15,"Ene aciyumva nayâma nnampamagaza, àjandika omushangi gwâge aha burhambi bwâni alibirhira emuhanda».","Et quand il a entendu que jélevais la voix et que je criais, il a laissé son vêtement à côté de moi et sest enfui dehors."
GEN.39.16,Okuhandi anacibîka gulya mushangi aha burhambi bwâge kuhika nnanyumpa alinda afulukira omu nyumpa.,"Et elle posa le vêtement de Joseph à côté delle, jusquà ce que son maître rentrât à la maison."
GEN.39.17,"Anamubwîra birya binwa, erhi: «Olya murhumisi wOmuhebraniya wali orhudwîrhîre, analijîre emunda ndi mpu ali nsharhirakwo.",Alors elle lui parla ainsi: Lesclave hébreu que tu nous as amené est venu vers moi pour se jouer de moi.
GEN.39.18,"Ci ene nciyâma nnampamagaza, àjahika omushangi gwâge aha burhambi bwâni analibirhira emuhanda».","Et comme jai élevé la voix et que jai crié, il a laissé son vêtement à côté de moi et sest enfui dehors."
GEN.39.19,"Erhi nnanyumpa ayumva ebinwa bya mukâge, wamubwîraga, mpu: «Alà kwo mwambali wâwe anyishagawo ntyo», oburhè bwamugwârha.","Après avoir entendu les paroles de sa femme, qui lui disait: Voilà ce que ma fait ton esclave! Le maître de Joseph fut enflammé de colère."
GEN.39.20,Nnawâbo Yozefu arhegeka mpu bamugwârhe banamuhebe omu mpamikwa; mulya bakazâgihira abashwêkwa ba mwâmi. Yozefu omu mpamikwa Anacibêra omwo mpamikwa.,"Il prit Joseph, et le mit dans la prison, dans le lieu où les prisonniers du roi étaient enfermés: il fut là, en prison."
GEN.39.21,"Nyamubâho erhi anali haguma na Yozefu, amuyêrekeza oburhonyi bwâge anarhuma arhona omu masù gomurhambo wabashwêke.","LÉternel fut avec Joseph, et il étendit sur lui sa bonté. Il le mit en faveur aux yeux du chef de la prison."
GEN.39.22,"Olya murhambo wempamikwa amulangîsa abandi bashwêke bàli omu mpamikwa boshi na ngasi byakazâgijamwo, byakazâgijirwa naye.",Et le chef de la prison plaça sous sa surveillance tous les prisonniers qui étaient dans la prison; et rien ne sy faisait que par lui.
GEN.39.23,"Oyo murhambo wempamikwa arhankadesire mpu ayobohera ebiri omu maboko ga Yozefu, bulya Nyamubâho àli haguma naye, anakazâgirhuma abêrwa nemikolo yâge yoshi.","Le chef de la prison ne prenait aucune connaissance de ce que Joseph avait en main, parce que lÉternel était avec lui. Et lÉternel donnait de la réussite à ce quil faisait."
GEN.40.1,"Enyuma zaho omurhambo wamamvu nomurhambo webiryo bya mwâmi we Mîsiri banacigayisa nnawâbo, mwâmi we Mîsiri.","Après ces choses, il arriva que léchanson et le panetier du roi dÉgypte, offensèrent leur maître, le roi dÉgypte."
GEN.40.2,Faraoni mwâmi we Mîsiri agwârhwa noburhè bwabo barhonyi bâge bombi: omurhambo wamamvu nomurhambo webiryo.,"Pharaon fut irrité contre ses deux officiers, le chef des échansons et le chef des panetiers."
GEN.40.3,"Abashwekêsa emwomurhambo wabalanzi, mwerya mpamikwa Yozefu àli ashwekîrwemwo.","Et il les fit mettre dans la maison du chef des gardes, dans la prison, dans le lieu où Joseph était enfermé."
GEN.40.4,"Naye omurhambo wabalanzi abarhumira Yozefu mpu akazibakolera, bageza nsiku zirhali nyi mweyo mpamikwa.","Le chef des gardes les plaça sous la surveillance de Joseph, qui faisait le service auprès deux; et ils passèrent un certain temps en prison."
GEN.40.5,"Omurhambo wamamvu nolya webiryo ba mwâmi we Mîsiri, kulya banali omu mpamikwa bombi, banacilôrha budufu buguma, ngasi muguma ecilôrho câge cinamuyêrekîre.","Pendant une même nuit, léchanson et le panetier du roi dÉgypte, qui étaient enfermés dans la prison, eurent tous les deux un songe, chacun le sien, pouvant recevoir une explication distincte."
GEN.40.6,"Sêzi erhi Yozefu ajà omu bali, ashanga bombi bali burhè.","Joseph, étant venu le matin vers eux, les regarda; et voici, ils étaient tristes."
GEN.40.7,"Adôsa balya barhambo ba Faraoni mwâmi we Mîsiri bàli bashwêkere haguma naye omu mpamikwa ya nnawâbo, erhi: «Kurhi oku mugwêrhe obusù buzinzibire ene wâni?».","Alors il questionna les officiers de Pharaon, qui étaient avec lui dans la prison de son maître, et il leur dit: Pourquoi avez-vous mauvais visage aujourdhui?."
GEN.40.8,"Bamubwîra, mpu: «Rhwakazirilôrha na ntâye wankarhuhugûlira eco cilôrho». Yozefu ababwîra, erhi: «Nyamuzinda ye hugûla ebilôrho; ci nshambâliragi nâni okwo».","Ils lui répondirent: Nous avons eu un songe, et il ny a personne pour lexpliquer. Joseph leur dit: Nest-ce pas à Dieu quappartiennent les explications? Racontez-moi donc votre songe."
GEN.40.9,"Omurhambo wabarhânza aganîrira Yozefu ecilôrho câge, erhi: «Omu cilôrho câni, nanacibona emburho yomuzâbîbu embere zâni.","Le chef des échansons raconta son songe à Joseph, et lui dit: Dans mon songe, voici, il y avait un cep devant moi."
GEN.40.10,"ogwo muzâbîbu gwàli gugwêrhe mashami asharhu, gwashabuka, gwanayasa nebihadu byogwo muzâbîbu byakazijakwo amalehe gayezire.","Ce cep avait trois sarments. Quand il eut poussé, sa fleur se développa et ses grappes donnèrent des raisins mûrs."
GEN.40.11,"Akabêhe ka Faraoni mwâmi we Mîsiri kali omu nfune zâni, narhôla galya malehe, nagakandira omu kabebe ka Faraoni mwâmi we Mîsiri, nadêkereza akabêhe omu maboko ga Faraoni mwâmi we Mîsiri».","La coupe de Pharaon était dans ma main. Je pris les raisins, je les pressai dans la coupe de Pharaon, et je mis la coupe dans la main de Pharaon."
GEN.40.12,"Yozefu amubwîra, erhi: «Yumvagya okwo kwo kuderha kurhi: Ago mashami asharhu gomuzâbîbu gayêrekîne nsiku isharhu.",Joseph lui dit: En voici lexplication. Les trois sarments sont trois jours.
GEN.40.13,"Hacisigîre nsiku isharhu Faraoni mwâmi we Mîsiri akulîke, anakushubize omu mukolo gwâwe: washubikàdêkereza akabêhe ka Faraoni mwâmi we Mîsiri omu maboko gâge, nkoku wanakazâgijira amango waciri murhambo wamamvu.","Encore trois jours, et Pharaon relèvera ta tête et te rétablira dans ta charge; tu mettras la coupe dans la main de Pharaon, comme tu en avais lhabitude lorsque tu étais son échanson."
GEN.40.14,"Okazinkengêra amango wabona eryo iragi, onansengerere emwa Faraoni mwâmi we Mîsiri, antenze nâni muli eyi nyumpa.","Mais souviens-toi de moi, quand tu seras heureux, et montre, je te prie, de la bonté à mon égard; parle en ma faveur à Pharaon, et fais-moi sortir de cette maison."
GEN.40.15,"Bulya kushamula banshamulaga omu cihugo cAbayahudi, ciru neno munda nayo, ntâco najizire cankarhuma nashwekwa».","Car jai été enlevé du pays des Hébreux, et ici même je nai rien fait pour être mis en prison."
GEN.40.16,"Omurhambo webiryo abona oku Yozefu anahûgwire bwinjà eco cilôrho, naye anacimubwîra, erhi: «Nâni kwo nalôsire ntya: nalimbarhwire birhiri bisharhu bya migati oku irhwe.","Le chef des panetiers, voyant que Joseph avait donné une explication favorable, dit: Voici, il y avait aussi, dans mon songe, trois corbeilles de pain blanc sur ma tête."
GEN.40.17,"Omu cirhiri cenyanya mwâli erya migati Faraoni mwâmi we Mîsiri analya, cikwône ebinyunyi byakazilya erya migati yali omu cirhiri oku irhwe lyâni».","Dans la corbeille la plus élevée il y avait pour Pharaon des mets de toute espèce, cuits au four; et les oiseaux les mangeaient dans la corbeille au-dessus de ma tête."
GEN.40.18,"Yozefu anacimushuza, erhi: «Yumvagya nâwe, okwo kuderha oku ebirhiri bisharhu zo nsiku isharhu.","Joseph répondit, et dit: En voici lexplication. Les trois corbeilles sont trois jours."
GEN.40.19,"Hacisigîre nsiku isharhu Faraoni mwâmi we Mîsiri akulîke, anakumanike oku murhi nenyunyi zanalya enyama za kuli we».","Encore trois jours, et Pharaon enlèvera ta tête de dessus toi, te fera pendre à un bois, et les oiseaux mangeront ta chair."
GEN.40.20,"Oku lusiku lwa kasharhu lwo lwàli lusiku lwokukengeza okuburhwa kwa Faraoni mwâmi we Mîsiri, ajirira abambali boshi olusiku lukulu. Alîka omurhambo wamamvu nomurhambo webiryo omu karhî kabarhambo babalwî.","Le troisième jour, jour de la naissance de Pharaon, il fit un festin à tous ses serviteurs; et il éleva la tête du chef des échansons et la tête du chef des panetiers, au milieu de ses serviteurs:."
GEN.40.21,"Omurhambo wamamvu amushubiza omu cikono câge, akazikâfumbika Faraoni mwâmi we Mîsiri akabehe kâge.","il rétablit le chef des échansons dans sa charge déchanson, pour quil mît la coupe dans la main de Pharaon;."
GEN.40.22,Omurhambo mukulu webiryo anacimanikwa nka kulya Yozefu anabahugûliraga.,"mais il fit pendre le chef des panetiers, selon lexplication que Joseph leur avait donnée."
GEN.40.23,"Ci olya murhambo wamamvu arhacikengêraga Yozefu, amuyibagira.",Le chef des échansons ne pensa plus à Joseph. Il loublia.
GEN.41.1,Enyuma lya myâka ibirhi. Faraoni mwâmi we Mîsiri alôrha ayîmanzire hôfi nolwîshi lwa Nili.,"Au bout de deux ans, Pharaon eut un songe. Voici, il se tenait près du fleuve."
GEN.41.2,"Abona mulya lwîshi mwanyonyôka nkâfu nda nyinjinjà na ntwedu, zarhondêra zakerera omu cibingu.","Et voici, sept vaches belles à voir et grasses de chair montèrent hors du fleuve, et se mirent à paître dans la prairie."
GEN.41.3,"Lâba oku zindi nkâfu nda zamarhenga omu Nili, zikulikîre entanzi, zirhali nyinjà zokulolwâkwo kabirhi, zinali mporhomporho, zàgendijà aha burhambi bwezâbo, aha lwîshi lwa Nili.","Sept autres vaches laides à voir et maigres de chair montèrent derrière elles hors du fleuve, et se tinrent à leurs côtés sur le bord du fleuve."
GEN.41.4,Zirya nkâfu mbimbi zirhankalolwakwo na mporho-mporho zanacirya zirya nkâfu ntwedu na nyinjinjà oku kubona. Aho Faraoni mwâmi we Mîsiri àsinsimuka.,Les vaches laides à voir et maigres de chair mangèrent les sept vaches belles à voir et grasses de chair. Et Pharaon séveilla.
GEN.41.5,"ashubihunga, alôrha ecilôrho ca kabirhi: Alà oku mihuli nda eyimanzire oku karhî kaguma, mihuli minjinjà na minênênè.","Il se rendormit, et il eut un second songe. Voici, sept épis gras et beaux montèrent sur une même tige."
GEN.41.6,Yindi mihuli nda mityangulinguli enababusire nempûsi yemwênè nayo yayisha.,Et sept épis maigres et brûlés par le vent dorient poussèrent après eux.
GEN.41.7,"Erya mihuli egokombire, yamirangusa erya yalirhunzire enayunjulirine. Kandi Faraoni mwâmi we Mîsiri àsinsimuka. Alà oku càli cilôrho eco.",Les épis maigres engloutirent les sept épis gras et pleins. Et Pharaon séveilla. Voilà le songe.
GEN.41.8,Erhi buca sêzi. Faraoni mwâmi we Mîsiri ayumva omurhima gurhadêkerîri. Ahamagala abashonga nabagula bâge bomu Mîsiri boshi. Abaganîrira ebyo bilôrho ci ntâye ciru nomuguma wahashire okumuhugulira byo.,"Le matin, Pharaon eut lesprit agité, et il fit appeler tous les magiciens et tous les sages de lÉgypte. Il leur raconta ses songes. Mais personne ne put les expliquer à Pharaon."
GEN.41.9,"Oku bundi, omurhambo wamamvu ajà aho, abwîra Faraoni mwâmi we Mîsiri, erhi: «Nkola nashubikengêza ene amabî gâni.","Alors le chef des échansons prit la parole, et dit à Pharaon: Je vais rappeler aujourdhui le souvenir de ma faute."
GEN.41.10,"Faraoni mwâmi we Mîsiri ali akunirîre bambali bâge, anabahira, omu mpamikwa emwa omurhambo wabaganda, niono nomurhambo webiryo.","Pharaon sétait irrité contre ses serviteurs; et il mavait fait mettre en prison dans la maison du chef des gardes, moi et le chef des panetiers."
GEN.41.11,"Rhwanacilôrhera budufu buguma, nie nowîrhu. Ci ebyo bilôrho birhâli byo biguma.",Nous eûmes lun et lautre un songe dans une même nuit; et chacun de nous reçut une explication en rapport avec le songe quil avait eu.
GEN.41.12,"Omwo rhwàli mwâli mwâna muguma muhebraniya, ali mwambali womurhambo wabalâlizi. Rhwamushambâlira ebilôrho bîrhu, arhuhugûlirabyo.","Il y avait là avec nous un jeune Hébreu, esclave du chef des gardes. Nous lui racontâmes nos songes, et il nous les expliqua."
GEN.41.13,"Byanacibà nkoku anarhubwîraga: niono Faraoni mwâmi we Mîsiri anshubiza omu mukolo gwâni, naye owîrhu amanikwa».","Les choses sont arrivées selon lexplication quil nous avait donnée. Pharaon me rétablit dans ma charge, et il fit pendre le chef des panetiers."
GEN.41.14,"Faraoni mwâmi we Mîsiri arhumiza mpu balêrhe Yozefu. Banacimurhenza duba duba omu mpamikwa. Amômwa, arhôla yindi yindi myambalo, ajà emwa Faraoni mwâmi we Mîsiri.","Pharaon fit appeler Joseph. On le fit sortir en hâte de prison. Il se rasa, changea de vêtements, et se rendit vers Pharaon."
GEN.41.15,"Faraoni mwâmi we Mîsiri abwîra Yozefu, erhi: «Nalôsire ecilôrho ci ntâye ohashiricimpugûlira, ci nayumvîrhe bakuderha mpu erhi wankayumva ecilôrho erhi wanacihûgwire».","Pharaon dit à Joseph: Jai eu un songe. Personne ne peut lexpliquer; et jai appris que tu expliques un songe, après lavoir entendu."
GEN.41.16,"Yozefu ashuza Faraoni mwâmi we Mîsiri amubwîra, erhi: «Ntali cici, cikwône Nyamuzinda yêne ye washuza Faraoni mwâmi we Mîsiri».","Joseph répondit à Pharaon, en disant: Ce nest pas moi! Cest Dieu qui donnera une réponse favorable à Pharaon."
GEN.41.17,"Faraoni mwâmi we Mîsiri abwîra Yozefu, erhi: «Omu cilôrho câni, nali nka nyimanzire oku burhambi bwa Nili.","Pharaon dit alors à Joseph: Dans mon songe, voici, je me tenais sur le bord du fleuve."
GEN.41.18,"Omu lwîshi mwanacinyonyôka nkâfu nda nyinjinjà na ntwedu, zarhondêra zakera omu cibingu.","Et voici, sept vaches grasses de chair et belles dapparence montèrent hors du fleuve, et se mirent à paître dans la prairie."
