fra	swc	swc_clean
Comment oses-tu me parler sur ce ton !	Juya nini unasubutu kuongea nami vile!	Juya nini unasubutu kuongea nami vile!
Si les gens savaient par quels petits hommes ils sont gouvernés, ils se révolteraient vite.	Ikiwa watu wangejua na wanaume wadogo wanaotawaliwa, wange ji revolter haraka.	Ikiwa watu wangejua na wanaume wadogo wanaotawaliwa, wange ji revolter haraka.
Dan pense que cette cravate appartient à l'amant de sa femme.	Dan anawaza aseme hii cravate ni ya mpenzi wa bibi yake.	Dan anawaza aseme hii cravate ni ya mpenzi wa bibi yake.
Il a un faux bronzage.	Ana ngozi ya mubaya.	Ana ngozi ya mubaya.
Est-ce que Cathy y est allée aussi ?	Je! katty naye alienda ako?	Je! katty naye alienda ako?
Nous devons nettoyer le camping avant de partir.	Tunapaswa kusafisha kambi mbele ya kuenda.	Tunapaswa kusafisha kambi mbele ya kuenda.
L'assemblée votait.	Mkutano ulifanya uchaguzi.	Mkutano ulifanya uchaguzi.
Il n'y eut aucun avertissement, quel qu'il soit.	Hakukuwa na onyo lolote.	Hakukuwa na onyo lolote.
Je ne creuse pas vos puits.	Miyi si chimbule bisima zenu.	Miyi si chimbule bisima zenu.
L'homme qui commet une erreur par an parce qu'il ne prend que deux décisions, se trompe cinquante pour cent du temps.	Mtu mwenye anafanya kosa moja kwa mwaka kwa sababu tu anakamata decision mbili ni makosa asilimia hamsini ya wakati.	Mtu mwenye anafanya kosa moja kwa mwaka kwa sababu tu anakamata decision mbili ni makosa asilimia hamsini ya wakati.
Aimes-tu le rock and roll ?	Je! una penda rock na roll?	Je! una penda rock na roll?
Tous sont dotés d'un cerveau, mais plusieurs n'ont pas compris l'instruction.	Bote biko na akili, lakini bamingi habakuelewa maagizo.	Bote biko na akili, lakini bamingi habakuelewa maagizo.
J'écris toujours les lettres à la plume et à l'encre.	Kila mara minaandika barua kwa kalamu na wino.	Kila mara minaandika barua kwa kalamu na wino.
Le bateau se dirige droit vers le nord.	Maili hiyo inaelekea kusini.	Maili hiyo inaelekea kusini.
Il était sur le point de prendre une décision finale.	Alikuwa karibu ya kukamata decision ya mwisho.	Alikuwa karibu ya kukamata decision ya mwisho.
Mon mari est aimant et attentionné.	Mume wangu ana upendo na anakuwa mwenyi kujali.	Mume wangu ana upendo na anakuwa mwenyi kujali.
Le feu était trop chaud et les gâteaux furent complètement carbonisés sur le dessous.	Moto ilikuwa moto sana na keki zilichomwa kabisa upande wa chini.	Moto ilikuwa moto sana na keki zilichomwa kabisa upande wa chini.
Ils ont creusé jusqu'à douze mètres sous le niveau de la mer.	Wali chimbula mpaka kiwango ya meta 12 chini ya usawa wa bahari.	Wali chimbula mpaka kiwango ya meta 12 chini ya usawa wa bahari.
Le match a été annulé en raison des intempéries.	Mechi ilikuwa annuler kwa sababu ya hali mbaya ya hewa.	Mechi ilikuwa annuler kwa sababu ya hali mbaya ya hewa.
Les pirates sont cruels.	Maharamia ni watu wabaya.	Maharamia ni watu wabaya.
Damon m'a montré son album de timbres.	Damon alinionyesha albamu yake ya stempu.	Damon alinionyesha albamu yake ya stempu.
Es-tu son proxénète?	Je! Weye uko mchumba wake?	Je! Weye uko mchumba wake?
Le bâtiment que tu vois là est une usine de voiture.	Nyumba yenye una ona kule ni usine cha magari.	Nyumba yenye una ona kule ni usine cha magari.
Savez-vous conduire une voiture à boîte manuelle ?	Je! Unajua ginsi ya kutembeza gari la kutumikisha mkono?	Je! Unajua ginsi ya kutembeza gari la kutumikisha mkono?
Il est tellement gay.	Ni shoga sana.	Ni shoga sana.
Les compagnies japonaises équipent habituellement leurs employés d'uniformes.	Kampuni za Kijapani kwa kawaida wanapatia wafanya kazi wao uniforme.	Kampuni za Kijapani kwa kawaida wanapatia wafanya kazi wao uniforme.
Attends une minute. Je vais appeler Jimmy.	Subiri kidogo. Nitamuita Jimmy.	Subiri kidogo. Nitamuita Jimmy.
Les abeilles ferment les alvéoles avec une pellicule de cire.	Nyuki zinafungaka seli na kifuniko ya ngufu.	Nyuki zinafungaka seli na kifuniko ya ngufu.
Le Canada est fantastique !	Canada niya muzuri!	Canada niya muzuri!
Des bonbons ou je te joue un tour !	Ma bonbons au nitakudanganya!	Ma bonbons au nitakudanganya!
Il est sûr de battre un nouveau record au triple saut.	Ana hakika anaeza kuwa tena mushindi maya yengine kwa katika kuruka mara tatu.	Ana hakika anaeza kuwa tena mushindi maya yengine kwa katika kuruka mara tatu.
Est-ce que la Terre tourne d'est en ouest ou vice versa ?	Je! Dunia inageuka kutoka mashariki kuenda magharibi au kinyume chake?	Je! Dunia inageuka kutoka mashariki kuenda magharibi au kinyume chake?
Quel moteur de recherche utilisez-vous ?	Je! Unatumia injini gani ya utaftaji?	Je! Unatumia injini gani ya utaftaji?
Seulement lire un manuel informatique est comme s'entraîner à nager à terre.	Kusoma tu kitabu ya kompyuta ni kama kufanya mazoezi ya kuogelea chini kwenyi udongo.	Kusoma tu kitabu ya kompyuta ni kama kufanya mazoezi ya kuogelea chini kwenyi udongo.
C'est une blonde.	Yeye ni blonde.	Yeye ni blonde.
Il est tellement adorable !	Yeye ni mzuri sana!	Yeye ni mzuri sana!
Viens ici que je te frappe.	Njoo hapa ngoja nikupigie.	Njoo hapa ngoja nikupigie.
La grue, contrairement au chien, n'a jamais rêvé de voler.	Munyama kwa jina la Crane, tofauti na imbwa, hakuwayi kulota kuruka.	Munyama kwa jina la Crane, tofauti na imbwa, hakuwayi kulota kuruka.
Bon voyage !	Safari ndjema!	Safari ndjema!
La statue de la liberté est un symbole de l'Amérique.	Sanamu ya Uhuru ni ishara ya Amerika.	Sanamu ya Uhuru ni ishara ya Amerika.
Faire des petites économies t'épargnera de l'argent à court terme mais te coûtera des clients sur le long terme.	Kuweka pesa kidogo inakuokowa kuweka pesa kwa muda kidogo alakini itatuma una kupoteza wa teja kwa siku zijazo.	Kuweka pesa kidogo inakuokowa kuweka pesa kwa muda kidogo alakini itatuma una kupoteza wa teja kwa siku zijazo.
Il pense à devenir marin.	Anafikiria kuwa marin.	Anafikiria kuwa marin.
Je veux éviter les heures de pointe.	Ninataka kuepuka saa ya kavuyo.	Ninataka kuepuka saa ya kavuyo.
Parmi les objets se trouvant dans le sac à main, il y avait la photo d'un homme.	Mubitu byenye bilikuwa ndani ya shakoshi kulikuwa picha ya mwanaume.	Mubitu byenye bilikuwa ndani ya shakoshi kulikuwa picha ya mwanaume.
Je trouve chacun de ses mots très offensant.	Ninaona kila moja ya maneno yake inakwaza sana.	Ninaona kila moja ya maneno yake inakwaza sana.
Le nouveau tunnel reliera la Grande-Bretagne à la France.	Tunel ya mumya itaunganisha Uingereza na Ufaransa.	Tunel ya mumya itaunganisha Uingereza na Ufaransa.
Celui qui vit par l'épée périra par l'épée.	Mwenye anayeuwa kwa panga atauwawa kwa upanga.	Mwenye anayeuwa kwa panga atauwawa kwa upanga.
Tu réalises ce que tu me demandes de faire?	Je! Unajuwa byenye unaniambiya nifanye?	Je! Unajuwa byenye unaniambiya nifanye?
Il y a eu de nombreux meurtres, l'année dernière.	Kulikuwa na mauaji mengi mwaka jana.	Kulikuwa na mauaji mengi mwaka jana.
Il a roulé avec le camion jusqu'à Dallas.	Alitembeza lorry yake maka Dallas.	Alitembeza lorry yake maka Dallas.
Elle appartient à la nouvelle génération du rock.	Yeye ni wa kizazi mupya ya Rock.	Yeye ni wa kizazi mupya ya Rock.
La conclusion est limpide.	Mwisho iko wazi kabisa.	Mwisho iko wazi kabisa.
Edward est plus jeune que Robert.	Edward ni kijana sana kumushinda Robert.	Edward ni kijana sana kumushinda Robert.
Maintenant que nous avons investi notre nouvelle maison, je dois informer le bureau de poste du changement d'adresse.	Sasa kwa kuwa tumehamia ku nyumba yetu mpya, inaomba nifahamishe posta juu ya mabadiliko ya anwani.	Sasa kwa kuwa tumehamia ku nyumba yetu mpya, inaomba nifahamishe posta juu ya mabadiliko ya anwani.
Excusez-moi, je n'ai pas du tout compris votre nom.	Tafazali, sikusikiya hata jina yako.	Tafazali, sikusikiya hata jina yako.
Cependant, toutes ces données n'ont pas été confirmées.	Njokusema, data hii yote ime kubaliwa.	Njokusema, data hii yote ime kubaliwa.
Nous ne prenons pas les cartes de crédit.	Hatukamate kadi za mkopo.	Hatukamate kadi za mkopo.
Le succès de Barbara ne saurait être remis en question.	Mafanikio ya Barbara hayawezi kutiliwa shaka.	Mafanikio ya Barbara hayawezi kutiliwa shaka.
Mon épouse chante dans le chœur féminin.	Mke wangu anaimba mu kwaya ya wanamuke.	Mke wangu anaimba mu kwaya ya wanamuke.
La couleur de cette cravate ne s'accorde pas avec ces vêtements.	Rangi ya cravatte hii hailingani na hizi manguo hizi.	Rangi ya cravatte hii hailingani na hizi manguo hizi.
Il est sous surveillance constante.	Yeye iko chini ya uangalizi wa kila wakati.	Yeye iko chini ya uangalizi wa kila wakati.
Charles Ier d'Angleterre a été guillotiné.	Charles wa kwanza wa Uingereza alikatwa kichwa.	Charles wa kwanza wa Uingereza alikatwa kichwa.
Y aurait-il un traître parmi nous ?	Je! kati yetu kuna musaliti?	Je! kati yetu kuna musaliti?
Le chef de section a accepté la proposition.	Mkuu wa sehemu alikubali pendekezo hilo.	Mkuu wa sehemu alikubali pendekezo hilo.
Si l'humanité ne prend pas soin de l'environnement, l'environnement pourrait bien éliminer l'humanité.	Ikiwa dunia haujali mazingira, mazingira yanaweza kufuta ubinadamu.	Ikiwa dunia haujali mazingira, mazingira yanaweza kufuta ubinadamu.
C'est une procédure de routine.	Ni mwenendo wa kawaida.	Ni mwenendo wa kawaida.
Touche la base de la lampe une fois pour l'allumer et deux fois pour l'éteindre.	Gusa msingi wa tala mara moja kuiwakisha na mara mbili kuizimisha.	Gusa msingi wa tala mara moja kuiwakisha na mara mbili kuizimisha.
Vous n'auriez pas dû signer d'aveu.	Haupaswi kusaini kukiri .	Haupaswi kusaini kukiri .
D'ici la fin du siècle, la terre aura fait l'expérience d'une alarmante augmentation de la température.	Mwisho wa karne, dunia itakuwa imepata ongezeko la kutisha la joto.	Mwisho wa karne, dunia itakuwa imepata ongezeko la kutisha la joto.
Ni la joie ni le chagrin ne durent éternellement.	Raha au mateso hakuna inayo baki milele.	Raha au mateso hakuna inayo baki milele.
Un vice conduit à un autre.	Kosa inazala kosa yengine.	Kosa inazala kosa yengine.
La poésie n'a pas d'autre but qu'elle-même.	Poésie haina lengo lingine isipokuwa yoyenyewe.	Poésie haina lengo lingine isipokuwa yoyenyewe.
J'ai mis une pierre sur le bord du drap pour empêcher que le vent ne l'emporte.	Niliweka jiwe pembeni ya drap kuzuia upepo usiirushe.	Niliweka jiwe pembeni ya drap kuzuia upepo usiirushe.
Cette terre est ma propriété.	Hii udongo ni mali yangu.	Hii udongo ni mali yangu.
Je me rends à un rassemblement de camions géants.	Ninaenda ku mkusanyiko wa malori kubwa kubwa.	Ninaenda ku mkusanyiko wa malori kubwa kubwa.
Tom a été violé par son père.	Tom amebakwa na baba yake.	Tom amebakwa na baba yake.
Concentre-toi sur ta respiration.	Utiye akili yako kwa pumuzi yako.	Utiye akili yako kwa pumuzi yako.
Quand ta petite amie va découvrir ça, ça va vraiment être la merde.	Wakati rafiki yako wa kike anapogundua juu ya hii, itakuwa mubaya kweli.	Wakati rafiki yako wa kike anapogundua juu ya hii, itakuwa mubaya kweli.
Ça sonne.	Inalia.	Inalia.
Cela a pris plusieurs heures à Brian pour écrire une carte.	Ilimkamata Brian muda murefu kuandika kadi.	Ilimkamata Brian muda murefu kuandika kadi.
Elle l'a mis hors de lui.	Yeye ali itiya mbali naye.	Yeye ali itiya mbali naye.
M. Davis est-il venu au Japon pour enseigner l'anglais ?	Je! Bwana Davis alikuya Japani kufundisha Kiingereza?	Je! Bwana Davis alikuya Japani kufundisha Kiingereza?
Cela va à l'encontre de mes principes.	Hiyo inaenda kinyume na sheriya yangu.	Hiyo inaenda kinyume na sheriya yangu.
Ce système fonctionnera bien dans neuf cas sur dix.	Hiyi systeme itafanya kazi muzuri katika kesi kenda kati ya kumi.	Hiyi systeme itafanya kazi muzuri katika kesi kenda kati ya kumi.
Marie feignit d’avoir un mal de tête pour éviter de répondre aux questions de sa cousine.	Maria alijifanya kuwa na maumivu ya kichwa kuepuka kujibu maswali ya binamu yake.	Maria alijifanya kuwa na maumivu ya kichwa kuepuka kujibu maswali ya binamu yake.
Sam aide quiconque lui demande.	Sam ana saidiyaka kila wowote ana muomba musaada.	Sam ana saidiyaka kila wowote ana muomba musaada.
Un chien court après un chat et le chat court après une souris.	Imbwa inakimbiya nyuma ya pusi, na pusi ina kimbiya nyuma ya panya.	Imbwa inakimbiya nyuma ya pusi, na pusi ina kimbiya nyuma ya panya.
Une clef d'or ouvre tout.	Fungulo ya dhahabu inafungua kila kitu.	Fungulo ya dhahabu inafungua kila kitu.
Je n'ai pas fumé depuis longtemps.	Sivute tangu zamani.	Sivute tangu zamani.
Cette page n'est pas bien imprimée, alors recommence.	Page hii hai adikiwe hauchapishi vizuri, kwa hivyo anza tena.	Page hii hai adikiwe hauchapishi vizuri, kwa hivyo anza tena.
Je n'ai pas de plan de rechange.	Sina mpango yakubadiricha.	Sina mpango yakubadiricha.
Scott fut le premier homme à atteindre le pôle.	Scott alikuwa mtu wa kwanza kufika kwenye nguzo.	Scott alikuwa mtu wa kwanza kufika kwenye nguzo.
Il ne manque jamais de lire son journal quotidien.	Yeye hashindwe kusoma gazeti yake ya kila siku.	Yeye hashindwe kusoma gazeti yake ya kila siku.
Je dois y aller.	Nina pashwa enda zangu.	Nina pashwa enda zangu.
Carole n'a pas pu retenir ses larmes.	Carole alishindwa kuzuia machozi yake.	Carole alishindwa kuzuia machozi yake.
J'ai fait hier l'acquisition d'un canapé vert, mais il ne passe pas la porte, je dois donc le ramener.	Nilinunua kiti yakusegamiya ya rangi ya vert jana, lakini haitaingia kupitia mlango, kwa hivyo lazima niirudishe.	Nilinunua kiti yakusegamiya ya rangi ya vert jana, lakini haitaingia kupitia mlango, kwa hivyo lazima niirudishe.
Il a été agressé alors qu'il rentrait chez lui tard dans la nuit.	Alitatizwa wakati wa kurudi nyumbani kwake usiku sana.	Alitatizwa wakati wa kurudi nyumbani kwake usiku sana.
Où est la station de métro la plus proche ?	Kituo ya chini ya barabara inaopatikana karibu kiko wapi?	Kituo ya chini ya barabara inaopatikana karibu kiko wapi?
L'usine utilise de nombreuses machines compliquées.	Usine inatumia mashine nyingi ngumu.	Usine inatumia mashine nyingi ngumu.
Ce médicament n'est vendu que sur ordonnance.	Dawa hii inauzishwa tu na kibaruwa kya kutoka kwa muganga.	Dawa hii inauzishwa tu na kibaruwa kya kutoka kwa muganga.
Il a ouvert la cage et a libéré les oiseaux.	Akafungua nyumba ya ndege na aka waacha waende.	Akafungua nyumba ya ndege na aka waacha waende.
En dehors des années bissextiles, février ne compte que vingt-huit jours.	Mbali mbali na miaka ya kuruka, Februari ina siku ishirini na nane tu.	Mbali mbali na miaka ya kuruka, Februari ina siku ishirini na nane tu.
Je suis le directeur de cette clinique.	Mimi ndiye kiongozi wa hii clinic.	Mimi ndiye kiongozi wa hii clinic.
Chaque année, des millions de gens meurent de faim.	kila mwaka milioni ya watu wana fariki na njaa.	kila mwaka milioni ya watu wana fariki na njaa.
Je crois que le vent faiblit.	Nina waza upepo una puna punguka.	Nina waza upepo una puna punguka.
Les politiciens sont appelés des putains parce qu'ils écoutent les gens qui ne sont pas d'accord avec nous.	Wanasiasa wanaitwa makahaba kwa sababu wanasikiliza watu ambao hawakubaliane na chiye.	Wanasiasa wanaitwa makahaba kwa sababu wanasikiliza watu ambao hawakubaliane na chiye.
Une marionnette ne sait pas qu'elle est manipulée.	Marionnette hajui kama anatumikishwa.	Marionnette hajui kama anatumikishwa.
Elle fait très bien Mickey.	Yeye ana fanya muzuri sana Mickey.	Yeye ana fanya muzuri sana Mickey.
C'est combien, taxe et assurance incluses ?	Je! Ni ngapi, kodi na assurance yote pamoja?	Je! Ni ngapi, kodi na assurance yote pamoja?
Ils ne les font plus ainsi qu'ils les faisaient.	Hawai fanye ginsi walivyokuwa naifanye.	Hawai fanye ginsi walivyokuwa naifanye.
Son pouls est-il régulier ?	Je! Mapigo ya moyo yake ni ya kawaida?	Je! Mapigo ya moyo yake ni ya kawaida?
Anne fit le récit de son évasion.	Anne alieleza hadithi ya kutoroka kwake.	Anne alieleza hadithi ya kutoroka kwake.
On sacrifiait des gens aux Dieux autrefois. Maintenant on ne le fait plus.	Tulikuwa tukiwatolea watu ku miungu. Kwa wakati wasasa hawafanye vile.	Tulikuwa tukiwatolea watu ku miungu. Kwa wakati wasasa hawafanye vile.
Il était une fois, dans un petit village une petite fille qui s'appelait Petit chaperon vert.	Hapo zamani za kale, katika kijiji kidogo moya ivi, kulikuwa na msichana mdogo aliyeitwa Petit chaperon vert.	Hapo zamani za kale, katika kijiji kidogo moya ivi, kulikuwa na msichana mdogo aliyeitwa Petit chaperon vert.
Au commencement, Dieu créa les cieux et la terre.	Hapo mwanzo, Mungu aliumba mbingu na dunia.	Hapo mwanzo, Mungu aliumba mbingu na dunia.
Sa mort a été qualifiée en meurtre.	Kifo yake ilikamatwa kama mauaji.	Kifo yake ilikamatwa kama mauaji.
Il a adopté une orpheline de guerre qu'il élève comme sa fille adoptive.	Alimkamata yatima wa vita ambaye anamlea kama binti yake wa aliyemzaa.	Alimkamata yatima wa vita ambaye anamlea kama binti yake wa aliyemzaa.
Ce sont des personnes sans conscience morale.	Ni watu wasio na dhamiri ya kumutu.	Ni watu wasio na dhamiri ya kumutu.
Le détective mit six mois à tirer au clair cette affaire.	Mupelelezi ulikamata miezi sita kumaliza suala hili.	Mupelelezi ulikamata miezi sita kumaliza suala hili.
Il y a des mouches posées sur le mur.	Kuna nzi juu ya ukuta.	Kuna nzi juu ya ukuta.
Elle pleura de joie lorsqu'elle apprit que son fils avait survécu à l'écrasement de l'avion.	Alilia kwa furaha aliposikia kwamba mtoto wake amepona ku ajali ya ndege.	Alilia kwa furaha aliposikia kwamba mtoto wake amepona ku ajali ya ndege.
L'usine va commencer à produire l'année prochaine.	Usine itaandja ku towa matunda mwaka ujao.	Usine itaandja ku towa matunda mwaka ujao.
Cet auteur ne comprend pas du tout pourquoi un homme et une femme qui ne peuvent devenir amants deviendraient amis.	Mwandishi huyu hajuwe kabisa ni kwanini mwanaume na mwanamke benye habawezi kuwa wapendanao watakuwa marafiki.	Mwandishi huyu hajuwe kabisa ni kwanini mwanaume na mwanamke benye habawezi kuwa wapendanao watakuwa marafiki.
Il rejoignit ses collègues dans le bureau du directeur.	Alikuta ma rafiki zake kwenye offisi ya kiongozi.	Alikuta ma rafiki zake kwenye offisi ya kiongozi.
Aujourd'hui, il fait très chaud; il fait 45 °C à l'ombre.	Leo ni kifukutu mingi; ni 45 ° C fasi ya kivuli.	Leo ni kifukutu mingi; ni 45 ° C fasi ya kivuli.
Dan avait besoin d'argent et a demandé une aide financière auprès de son père.	Dan alihitaji pesa na aliuliza msaada wa kifeza kutoka kwa baba yake.	Dan alihitaji pesa na aliuliza msaada wa kifeza kutoka kwa baba yake.
Combien de minutes faut-il pour aller à la gare SNCF à pied ?	Inachukua dakika ngapi kutembea na migulu kwenda ku kituo kya SNCF?	Inachukua dakika ngapi kutembea na migulu kwenda ku kituo kya SNCF?
J'imaginais que mon premier baiser serait plus romantique.	Ninawaza kama bize yangu ya kwanza litakuwa ya kimapenzi zaidi.	Ninawaza kama bize yangu ya kwanza litakuwa ya kimapenzi zaidi.
Le cadavre présente une blessure par balle à la poitrine.	Maiti inaonesha kidonda ya lisasi kwenyi kifuwa.	Maiti inaonesha kidonda ya lisasi kwenyi kifuwa.
On ouvre à tous ceux qui frappent.	Tunafungula kwa wote wanaobisha.	Tunafungula kwa wote wanaobisha.
C'était en avril 1905 qu'une école a été construite sur l'emplacement du théâtre.	Ilikuwa mnamo Aprili 1905 ambapo shule ilijengwa kwenye kunafasi ya michezo.	Ilikuwa mnamo Aprili 1905 ambapo shule ilijengwa kwenye kunafasi ya michezo.
C'est un acte criminel et tu seras sûrement puni pour cela !	Ni kitendo ya ukaidi na hakika utaadhibiwa kwa hilo!	Ni kitendo ya ukaidi na hakika utaadhibiwa kwa hilo!
Combien de temps faut-il pour atteindre Vienne à pied ?	Inaomba kiasi ya saa ngapi kwaku fika Vienne na migulu?	Inaomba kiasi ya saa ngapi kwaku fika Vienne na migulu?
L'attaque terroriste à Paris a choqué le monde.	Shambulio la kigaidi huko Paris ilishitula ulimwengu.	Shambulio la kigaidi huko Paris ilishitula ulimwengu.
C'est un type désagréable.	Yeye ni mutu mubaya.	Yeye ni mutu mubaya.
L'ennemi larguait des bombes sur l'usine.	Adui alikuwa akiangusha mabomu ku usine.	Adui alikuwa akiangusha mabomu ku usine.
"On appelle ""pieux mensonge"" un mensonge qui n'a pour but que d'éviter de heurter les sentiments ou les espoirs de quelqu'un."	Tunauita «uwongo mtakatifu» uwongo yenye umekusudiwa tu kuepusha kuumiza sentiment au matumaini ya mtu.	Tunauita «uwongo mtakatifu» uwongo yenye umekusudiwa tu kuepusha kuumiza sentiment au matumaini ya mtu.
Il m'est difficile de lire des lettres sur le moniteur.	Ni ngufu kwangu kusoma barua ku TV.	Ni ngufu kwangu kusoma barua ku TV.
Le charme romantique de l'espace vit toujours en certains d'entre nous.	Raha ya kimapenzi ya nafasi ingali inaishi katika wengine kati yetu.	Raha ya kimapenzi ya nafasi ingali inaishi katika wengine kati yetu.
Cette peinture à l'huile date du 17e siècle.	Hii rangi ya mafuta ulianza tangu karne ya 17.	Hii rangi ya mafuta ulianza tangu karne ya 17.
David a tellement de petites copines qu'il n'arrive pas à retenir tous leurs noms.	David iko na barafiki banamuke bamingi mpaka hawezi kukumbuka majina zabo zote.	David iko na barafiki banamuke bamingi mpaka hawezi kukumbuka majina zabo zote.
Tom croit qu'il est harcelé par des fantômes la nuit.	Tom anaamini anasumbuliwa mizimu busiku.	Tom anaamini anasumbuliwa mizimu busiku.
Je vis à Milan.	Nina ishi Milan.	Nina ishi Milan.
Nous brûlons tous du désir de liberté.	Shiye mote tuko nalazima ya uhuru.	Shiye mote tuko nalazima ya uhuru.
Je répondrai à vos deux lettres.	Nitajibu barua zako mbili.	Nitajibu barua zako mbili.
Son parfum exotique a une odeur subtile.	Harufu yake ya kigeni ina harufu ya kuvutiya.	Harufu yake ya kigeni ina harufu ya kuvutiya.
Dites à ces gens de reculer, afin que l'hélicoptère puisse se poser.	Waambie watu hawa warudiye nyuma juu ili helikopta iweze kutua.	Waambie watu hawa warudiye nyuma juu ili helikopta iweze kutua.
Ma tante se sent malade.	Shangazi yangu anazisikiya mgondjwa.	Shangazi yangu anazisikiya mgondjwa.
Vous avez approfondi les trous.	Umezidisha mashimu.	Umezidisha mashimu.
J'ai croisé Michael et Caroline en ville cet après-midi.	Nilikutana Michael na Carolinemjini apa après-midi.	Nilikutana Michael na Carolinemjini apa après-midi.
Je l'admire vraiment.	Nina mupenda kabisa.	Nina mupenda kabisa.
Je marche lentement.	Nina tembeya polepole.	Nina tembeya polepole.
"""Hé toi, la ferme ! Tu parles trop"", dit le gangster."	‘‘Hey, weye, funga kinywa! Unasema sana’’ Ma ganster wana sema.	‘‘Hey, weye, funga kinywa! Unasema sana’’ Ma ganster wana sema.
Ne me prends pas par surprise comme ça.	Usinikamate kwa kinistukia ivi.	Usinikamate kwa kinistukia ivi.
Depuis qu'ils avaient quitté la route nationale, ils n'avaient rencontré aucune voiture.	Tangu walikuwa wameacha barabara ya kitaifa, walikuwa hawayakutana na gari yoyote.	Tangu walikuwa wameacha barabara ya kitaifa, walikuwa hawayakutana na gari yoyote.
De nombreux grands projets seront accomplis au vingt-et-unième siècle.	Miradi mingi mizuri itatimizwa katika karne ya ishirini na moja.	Miradi mingi mizuri itatimizwa katika karne ya ishirini na moja.
Le candidate indépendant a retiré le thème de l'avortement de son programme.	Mgombeaji huru ameondoa mada ya kutosha mimba ku mpango wake.	Mgombeaji huru ameondoa mada ya kutosha mimba ku mpango wake.
Ce trésor est fabuleux.	Hazina hii ni nzuri sana.	Hazina hii ni nzuri sana.
L'ascenseur est en panne alors nous devrons emprunter l'escalier. Au moins, il n'y a que deux étages !	Ascenceur imeharibika alafu tunapashwa pita ndjiya ya ngazi. Angalau kuna Angalau kuna étages mbili tuu!	Ascenceur imeharibika alafu tunapashwa pita ndjiya ya ngazi. Angalau kuna Angalau kuna étages mbili tuu!
Whoua ! C'est une côte raide. Mais la descente sera un vrai plaisir.	Wow! Ni kilima kikali. Mais la descente sera un vrai plaisir.	Wow! Ni kilima kikali. Mais la descente sera un vrai plaisir.
C'est une des meilleures artistes actuelles.	Yeye ni mmoja wa wasanii bora wa sasa.	Yeye ni mmoja wa wasanii bora wa sasa.
Rends-moi la télécommande de la télé.	Nirudishiye télécommande ya TV.	Nirudishiye télécommande ya TV.
Cette mélodie est connue de nombreux Japonais.	Nyimbo hii inajulikana kwa Wajapani wengi.	Nyimbo hii inajulikana kwa Wajapani wengi.
Ce livre compte parmi les meilleurs de son œuvre.	Kitabu hiki ni miongoni katika kazi zake zamuzuri.	Kitabu hiki ni miongoni katika kazi zake zamuzuri.
Samedi prochain, nous ferons un barbecue.	Juma ya posho itakayo kuya, tuta fantya barcue.	Juma ya posho itakayo kuya, tuta fantya barcue.
Laisse-moi voir.	Acha nione.	Acha nione.
Le grand mec en train de fumer un cigare là-bas est un réalisateur célèbre.	Kijana mkubwa mwenye anayevuta sigara kule ni mkurugenzi nukubwa.	Kijana mkubwa mwenye anayevuta sigara kule ni mkurugenzi nukubwa.
Ensuite, la température interne se met à grimper rapidement.	Kiisha kifukutu ya ndani ikaanza kuongezeka mbiyo.	Kiisha kifukutu ya ndani ikaanza kuongezeka mbiyo.
Tom n'a pas laisse de note de suicide, alors la police suspecte un meurtre.	Tom hakuacha barua ya kujiua, kwa hiivyo polisi ina waziya mauaji.	Tom hakuacha barua ya kujiua, kwa hiivyo polisi ina waziya mauaji.
Une lune de miel au Canada coûte beaucoup d'argent.	Likizo ya ndowa Canada inaomba makuta mingi.	Likizo ya ndowa Canada inaomba makuta mingi.
Mon logiciel n'a jamais de bug. Il a juste des fonctionnalités aléatoires.	Programu yangu haiya acha hata kilulu. Inayo tu sifa za nasibu.	Programu yangu haiya acha hata kilulu. Inayo tu sifa za nasibu.
Ce couteau a une lame très effilée.	Kisu hiki kino na lame ya makali sana.	Kisu hiki kino na lame ya makali sana.
Vous êtes la personne qui convient le mieux au poste.	Weye ndiyo matu anaye stahili kabisa kwa kazi.	Weye ndiyo matu anaye stahili kabisa kwa kazi.
Joan s'est cassé son bras gauche dans l'accident.	Joan alivundjika mkono yake ya kushoto katika ajali.	Joan alivundjika mkono yake ya kushoto katika ajali.
Marc a posté sa lettre.	Marc alitiya baruwa yake kwenyi posta.	Marc alitiya baruwa yake kwenyi posta.
L'abus d'alcool chez les jeunes est un grave problème.	Vijana kukunya pombe sana ni shida sana.	Vijana kukunya pombe sana ni shida sana.
Pour ce cabinet de créateurs la stratégie adéquate retenue a été d'introduire des couleurs encore plus tranchées dans la conception des ordinateurs.	Kwa kampuni hii ya waundaji,strategie ya muzuri iliyo kamatwa ili ingizwa mambo tofauti zaidi katika muundo wa kompyuta.	Kwa kampuni hii ya waundaji,strategie ya muzuri iliyo kamatwa ili ingizwa mambo tofauti zaidi katika muundo wa kompyuta.
Elle est profondément liée à ses parents.	Ana uhusiano wa karibu sana na wazazi wake.	Ana uhusiano wa karibu sana na wazazi wake.
Avez-vous jamais été témoin d'une affaire en justice ?	Je! Umewahi kushuhudia kesi ya Je! Umewahi kushuhudia kesi ya korti?	Je! Umewahi kushuhudia kesi ya Je! Umewahi kushuhudia kesi ya korti?
