fra	swc	swc_clean
La différence entre un « mot juste » et un « mot presque juste » est comme la différence entre la foudre et le foudre.	Tofauti kati ya «neno la ukweli» na «neno ya karibu ya ukweli» ni kama tofauti kati ya radi na radi.	Tofauti kati ya «neno la ukweli» na «neno ya karibu ya ukweli» ni kama tofauti kati ya radi na radi.
Un exercice régulier est excellent pour la santé.	Mazoezi ya kila wakati ni muzuri ku afya.	Mazoezi ya kila wakati ni muzuri ku afya.
La science médicale a fait des progrès spectaculaires.	Sayansa ya uganga ina endeleya sana.	Sayansa ya uganga ina endeleya sana.
Les champs s'étendent, couverts d'une neige épaisse.	Shamba zinaendelea, zinafunikwa na neige kubwa.	Shamba zinaendelea, zinafunikwa na neige kubwa.
Votre cargaison devrait être livrée dans les vingt-quatre heures.	Mizigo yako ili pashwa fika mu saa makumi mbili na inne.	Mizigo yako ili pashwa fika mu saa makumi mbili na inne.
Aux yeux de beaucoup de gens, la pauvreté est bien pire que vice : elle est faiblesse.	Ku macho ya watu wengi, umaskini ni shida kali: ni uzaifu.	Ku macho ya watu wengi, umaskini ni shida kali: ni uzaifu.
Votre belle voix était très agréable aux oreilles.	Sauti yako muzuri ilikuwa muzuru sana ku masikio.	Sauti yako muzuri ilikuwa muzuru sana ku masikio.
Y a-t-il un endroit où nous pourrions parler en privé ?	Je! kuna nafasi tunaweza ongeya mu siri ?	Je! kuna nafasi tunaweza ongeya mu siri ?
Linda a identifié Dan comme l'homme de son viol.	Linda alisema Dan ndio mwanaume aliye mubaka.	Linda alisema Dan ndio mwanaume aliye mubaka.
Les couleurs du motif sont très ordinaires.	Ma rangi za miundo ziko za kawaida sana	Ma rangi za miundo ziko za kawaida sana
Sophie, qui avait faim, mangeait tout ce qu’elle pouvait attraper.	Sophia, mwenye alikuwa na njala, alikula kila kitu kyenye angeweza kukamata	Sophia, mwenye alikuwa na njala, alikula kila kitu kyenye angeweza kukamata
Le plus grand zoo du monde se trouve à Berlin, en Allemagne.	Zoo mukubwa zaidi mu dunia iko Berlin, Ujerumani	Zoo mukubwa zaidi mu dunia iko Berlin, Ujerumani
Ouille, mon pied !	Ouch, mugulu yangu	Ouch, mugulu yangu
Science sans conscience n'est que ruine de l'âme.	Sayansi bila zamiri ni uharibifu wa roho tu	Sayansi bila zamiri ni uharibifu wa roho tu
Notre quartier général se situe dans un autre quartier de la ville.	Qaurtier general inapatikana ndani ya kata ingine ya muji.	Qaurtier general inapatikana ndani ya kata ingine ya muji.
Ne compte pas sur lui pour te prêter de l'argent.	Usimutegemee ili akukopeshe pesa.	Usimutegemee ili akukopeshe pesa.
Les gens ne sont des héros que quand ils ne peuvent pas faire autrement.	Watu si washujaa wakati tu hawawezi kufanya kingine	Watu si washujaa wakati tu hawawezi kufanya kingine
Mon oncle conduit comme un pied !	Mujomba yangu anaendesha kama mugulu.	Mujomba yangu anaendesha kama mugulu.
Dans notre malheur, nous avons eu de la chance : nous avions fait une sauvegarde complète la veille.	Kwa bahati mbaya yetu, tulikuwa na bahati: tulikuwa tumeshajaza nakala kamili ile siku yenye ilipita	Kwa bahati mbaya yetu, tulikuwa na bahati: tulikuwa tumeshajaza nakala kamili ile siku yenye ilipita
Le gouvernement surveillait avec attention les activités des groupes radicaux.	Serekali ilikuwa inafuatilia kwa karibu shuguli ya bikundi byenye nguvu.	Serekali ilikuwa inafuatilia kwa karibu shuguli ya bikundi byenye nguvu.
Elle mit le linge sale dans la machine à laver.	Aliweka ma nguo za buchafu kwenye mashine ya kuosha.	Aliweka ma nguo za buchafu kwenye mashine ya kuosha.
Pourriez-vous l'emballer ?	Je! Unaweza kuipakia?	Je! Unaweza kuipakia?
Je n'avais pas pu dormir la nuit d'avant, du coup je n'ai pas arrêté de piquer du nez pendant la réunion.	Sikuwahi kulala busiku bwenye bulipita, njo maana sikuacha kupiga mbizi wakati wa mkutano	Sikuwahi kulala busiku bwenye bulipita, njo maana sikuacha kupiga mbizi wakati wa mkutano
Ne creuse pas un trou pour y faire tomber quelqu'un ou tu risques de finir toi-même dedans.	Usichimbule shimo ili kumudumbukiza mutu ndani au unaweza kuishia weye peke mu hayo	Usichimbule shimo ili kumudumbukiza mutu ndani au unaweza kuishia weye peke mu hayo
L'enfant fut fait pupille de la nation.	Mutoto alifanywa mwanafunzi wa taifa	Mutoto alifanywa mwanafunzi wa taifa
Dieu a envoyé ses anges pour te protéger où que tu ailles.	Mungu alituma ba malaika yake kuku linda fasi yote yenye uta enda	Mungu alituma ba malaika yake kuku linda fasi yote yenye uta enda
Mon cousin a une large collection de figurines.	Binamu yangu ako na mukusanyiko mukubwa wa sanamu.	Binamu yangu ako na mukusanyiko mukubwa wa sanamu.
Un examen plus poussé est requis.	Uchunguzi wa mingi unastahili	Uchunguzi wa mingi unastahili
Du pinacle du bonheur, elle a sombré dans les abysses de la misère.	Kutoka kwa uzani wa furaha, ali dumbukia kwenye shimo ya magumu	Kutoka kwa uzani wa furaha, ali dumbukia kwenye shimo ya magumu
Un pot de départ fut organisé pour M. Smith.	Kinywaji cha kuanza kilipangwa kwa bwana Smith	Kinywaji cha kuanza kilipangwa kwa bwana Smith
J'ai reçu ce couteau électrique comme cadeau.	Nilipokea hii kisu ya moto kama zawadi	Nilipokea hii kisu ya moto kama zawadi
Je pense qu'Anne aime Jacques.	Nawaza Anne anapenda Jacques.	Nawaza Anne anapenda Jacques.
Tous au village la nommaient Le Petit Chaperon Vert.	Kila mutu mu hikyo kijiji ali muita mutoto Chaperon wa vert	Kila mutu mu hikyo kijiji ali muita mutoto Chaperon wa vert
J'ai laissé mes émotions troubler mon jugement.	Nili acha hisia zangu zi sumbue ma hamuzi yangu.	Nili acha hisia zangu zi sumbue ma hamuzi yangu.
Fais quelque chose à propos du flot de sang qui s'échappe de la blessure.	Fanya kitu fulani kuhusu mutiririko wa damu kutoka kwa kidonda	Fanya kitu fulani kuhusu mutiririko wa damu kutoka kwa kidonda
Hier, j'ai écrit à Hélène.	Jana, nili mu andikia Helena	Jana, nili mu andikia Helena
Les amants qui aiment bien n'écrivent pas leur bonheur.	Wapenda nao hawaandikake furaha yabo	Wapenda nao hawaandikake furaha yabo
Puisque c'est désormais légal de se marier avec quelqu'un du même sexe, je suis à deux doigts de me marier avec moi-même.	Kama vile ilisha kua halali kuoa mutu wa jinsia moya, miye niko sasa karibu kujioa miye peke	Kama vile ilisha kua halali kuoa mutu wa jinsia moya, miye niko sasa karibu kujioa miye peke
Jimmy est mon enfant adoptif.	Jimmy ni mutoto wangu ambaye nililea kutoka inje.	Jimmy ni mutoto wangu ambaye nililea kutoka inje.
Je suis membre de cette organisation depuis cinq ans. Oh attends ! Non, six.	Niko mwanamemba waiyi shirika tangu miaka tano. Oh, ngoya. Hapana, sita.	Niko mwanamemba waiyi shirika tangu miaka tano. Oh, ngoya. Hapana, sita.
Il a perdu son temps à jouer aux courses hippiques.	Alipoteza wakati yake kucheza mbio za farasi.	Alipoteza wakati yake kucheza mbio za farasi.
Liz est morte depuis huit ans.	Liz alikufaka miaka munane yenye ilipita	Liz alikufaka miaka munane yenye ilipita
Le scientifique a essayé de découvrir les lois de la Nature.	Mwanasayansi alijaribu kufumbula sheria za Maumbile.	Mwanasayansi alijaribu kufumbula sheria za Maumbile.
Pourquoi faut-il que le plus grand crime et la plus grande gloire soient de verser le sang d'un homme ?	Je! Kwa nini uhalifu mukubwa na utukufu mukubwa zaidi unapashwa kumwanga damu ya mutu?	Je! Kwa nini uhalifu mukubwa na utukufu mukubwa zaidi unapashwa kumwanga damu ya mutu?
Les parents devraient superviser les activités de leurs enfants.	Bazazi wanapashwa kusimamia michezo ya batoto yabo.	Bazazi wanapashwa kusimamia michezo ya batoto yabo.
Il est devenu sourd à sonner les cloches.	Alisha kuwa kiziwi kupiga kengele	Alisha kuwa kiziwi kupiga kengele
Cette église date du 12e siècle.	Hii Kanisa ilianza karne ya 12.	Hii Kanisa ilianza karne ya 12.
Ne t'en fais pas, j'ai couvert chaque angle.	Usijali, nili funikia kila pembe.	Usijali, nili funikia kila pembe.
Le vent a arraché le toit de notre immeuble.	Upepo uli rusha paa ya nyumba yetu.	Upepo uli rusha paa ya nyumba yetu.
La ville se situe à la pointe la plus au nord du Japon.	Mugini iko kwenye pembe ya kaskazini zaidi ya Japani.	Mugini iko kwenye pembe ya kaskazini zaidi ya Japani.
Les ventes ont chuté dans tous les grands magasins.	Ku uzisha kulianguka muma duka yote ya mukubwa.	Ku uzisha kulianguka muma duka yote ya mukubwa.
Tom a dit qu'il voulait rendre visite au Père Noël au Pôle Nord.	Tom alisema anataka kumutembelea baba wa noeli kule ngambo ya kaskazini.	Tom alisema anataka kumutembelea baba wa noeli kule ngambo ya kaskazini.
Marie est une danseuse à la barre verticale professionnelle.	Maria ni muchezaji wa dansi ya bwima wa kitaalamu.	Maria ni muchezaji wa dansi ya bwima wa kitaalamu.
Il y a des roues dans des roues.	Kuko magurudumu ndani ya magurudumu.	Kuko magurudumu ndani ya magurudumu.
Ce repas était simplement divin.	Iyi chakula ilikuwa ya butamu sana.	Iyi chakula ilikuwa ya butamu sana.
J'aimerais disposer de la volonté d'arrêter de manger de la malbouffe.	Ninge penda kuwa na nguvu ya kuacha kula chakula ya mubaya.	Ninge penda kuwa na nguvu ya kuacha kula chakula ya mubaya.
Il est venu en se débattant et en hurlant.	Alikuya akipigania na kupiga makelele.	Alikuya akipigania na kupiga makelele.
Je ne puis vous approuver, ma fille, d’attacher ainsi votre admiration à un inconnu, que vous ne reverrez jamais sans doute.	Siwezi kuku kubalia, musichana wangu, mpaka ufikie kupendezwa na mutu mwenye hajulikane, ambaye hautawahi kumuona tena.	Siwezi kuku kubalia, musichana wangu, mpaka ufikie kupendezwa na mutu mwenye hajulikane, ambaye hautawahi kumuona tena.
La veuve souffrait d'un cancer de l'estomac.	Huyo Mujane alikua na gonjwa saratani ya tumbo.	Huyo Mujane alikua na gonjwa saratani ya tumbo.
Les bons artistes copient, les artistes éminents volent.	Wale wasanihi wazuri wana higa, wale wasanihi maarufu wana hiba	Wale wasanihi wazuri wana higa, wale wasanihi maarufu wana hiba
Le savon aide à enlever la saleté.	Sabuni ina saidia kutoa buchafu	Sabuni ina saidia kutoa buchafu
Papa, je suis enceinte, voici la liste des suspects....	Baba, niko na mimba, hii njo oroza ya watuhumiwa	Baba, niko na mimba, hii njo oroza ya watuhumiwa
Je veux une carte du Texas à l'échelle 1/250000e.	Nataka ramani ya Texas kwa kiwango ya 1/250000	Nataka ramani ya Texas kwa kiwango ya 1/250000
Écrire est un sommeil plus profond que la mort.	Kuandika ni kulala busingizi muzito kuliko kifo.	Kuandika ni kulala busingizi muzito kuliko kifo.
Le juge a demandé à l'accusé s'il connaissait la différence entre dire la vérité et dire un mensonge.	Jaji aliuliza mushtakiwa kama alikuwa najua tofauti kati ya kusema ukweli na kusema bongo.	Jaji aliuliza mushtakiwa kama alikuwa najua tofauti kati ya kusema ukweli na kusema bongo.
Un homme demanda un jour à Bouddha : Je veux du bonheur ! Bouddha lui répondit : D’abord, enlève « Je », c’est de l’ego. Puis enlève « veux », c’est du désir. Et maintenant, tout ce qu’il te reste : « du bonheur ».	Siku moja mutu umoya aliuliza Bouddha: Minataka furaha! Bouddha akamujibu: Kwanza, tosha «Mi», ni kujipendelea. Kisha tosha «kutaka», ni tamaa. Sasa, yote yeny unabakiana: «ni furaha».	Siku moja mutu umoya aliuliza Bouddha: Minataka furaha! Bouddha akamujibu: Kwanza, tosha «Mi», ni kujipendelea. Kisha tosha «kutaka», ni tamaa. Sasa, yote yeny unabakiana: «ni furaha».
Nous devons quitter l'hôtel avant 10h, autrement nous allons manquer le train pour Miami.	Tunapashwa toka ku hoteli mbele ya saa ine asubui, bila ivyo tutakosa treni ya kwenda Miami	Tunapashwa toka ku hoteli mbele ya saa ine asubui, bila ivyo tutakosa treni ya kwenda Miami
Le chemin vers le mal peut apporter un grand pouvoir, mais pas la loyauté.	Njia ya uovu inaweza kuleta nguvu ya mukubwa, lakini sio uaminifu.	Njia ya uovu inaweza kuleta nguvu ya mukubwa, lakini sio uaminifu.
Elle a suivi un régime les deux derniers mois car elle a pris trop de poids durant l'hiver.	Alifuata kukula kwa mupanga kwa miezi mbili yenye ilipita kwa sababu alipata buzito ya mingi wakati wa musimu wa baridi.	Alifuata kukula kwa mupanga kwa miezi mbili yenye ilipita kwa sababu alipata buzito ya mingi wakati wa musimu wa baridi.
Les équipes de football d'Amérique latine réussissent plutôt bien, en particulier par rapport aux équipes asiatiques.	Timu za mupira wa migulu za latino America zinafanya muzuri kabisa, ikilinganishwa na timu za Asia.	Timu za mupira wa migulu za latino America zinafanya muzuri kabisa, ikilinganishwa na timu za Asia.
Tom n'est clairement pas intéressé par une adhésion à notre groupe.	Tom hana nia ya kujiunga na kikundi kyetu.	Tom hana nia ya kujiunga na kikundi kyetu.
En cas de retard de la cargaison, nous avons une assurance retard spéciale.	Katika kesi ya kuchelewa kwa shehena, tuna bima maalum ya kuchelewesha.	Katika kesi ya kuchelewa kwa shehena, tuna bima maalum ya kuchelewesha.
Dans les régions méridionales, les ventes ont augmenté de 47 pour cent.	Katika mikoa ya kusini, mauzo yaliongezeka kwa asilimia 47.	Katika mikoa ya kusini, mauzo yaliongezeka kwa asilimia 47.
La magie et les monstres sont les fruits de l'imagination.	Bulozi na mizimu ni matunda ya mawazo.	Bulozi na mizimu ni matunda ya mawazo.
Ayant perdu son chemin, il choisit sa route au hasard.	Kwa kuwa amepotea njia yake, anachagua njia yake kwa bahati nasibu.	Kwa kuwa amepotea njia yake, anachagua njia yake kwa bahati nasibu.
Le plancher était peint en vert, mais les murs étaient jaunes.	Sakafu ilikuwa ya rangi ya kijani, lakini ukuta ulikuwa wa manjano.	Sakafu ilikuwa ya rangi ya kijani, lakini ukuta ulikuwa wa manjano.
Ils ont parié une bouteille de whisky.	Wali pinga chupa ya wiski.	Wali pinga chupa ya wiski.
Le feu, conduit par un vent d'est, a détruit le centre-ville.	Moto, ukiongozwa na upepo wa mashariki, uliharibu katikati ya mugini.	Moto, ukiongozwa na upepo wa mashariki, uliharibu katikati ya mugini.
Sais-tu qui est cette grande fille blonde habillée en vert ?	Je! Una mujua hule musichana mukubwa ambaye ni muzuri mwenye anavaa nguo ya kijani kibichi?	Je! Una mujua hule musichana mukubwa ambaye ni muzuri mwenye anavaa nguo ya kijani kibichi?
En matière de drogues, la frontière est mince entre l'usage et l'abus.	Kuhusu madawa ya kulevia, mustari ni mwembamba kati ya matumizi na unyanyasaji.	Kuhusu madawa ya kulevia, mustari ni mwembamba kati ya matumizi na unyanyasaji.
Il adopte l'attitude que la résistance est une perte d'énergie.	Ana kamata mutazamo kwamba upinzani ni kupoteza nguvu	Ana kamata mutazamo kwamba upinzani ni kupoteza nguvu
Ces vrais jumeaux ont été séparés à la naissance et ont été élevés dans des familles différentes.	Aba ba mapasa ba kweli baliachanishwa wakati wa kuzaliwa na kukomalia katika familia tofauti.	Aba ba mapasa ba kweli baliachanishwa wakati wa kuzaliwa na kukomalia katika familia tofauti.
Une carte était attachée au cadeau.	Kadi ili kua imefungwa kwa zawadi.	Kadi ili kua imefungwa kwa zawadi.
J'ai toujours pensé qu'un infarctus était la manière dont la nature t'indique qu'il est temps de mourir.	Siku zote nili wazia kuwa mushituko wa moyo ndio njia asili inakuambia ni wakati wa kufa.	Siku zote nili wazia kuwa mushituko wa moyo ndio njia asili inakuambia ni wakati wa kufa.
Une maison en bois brûle plus facilement qu'une maison de pierre.	Nyumba ya mbao ina lungulaka araka zaidi kuliko nyumba ya majiwe.	Nyumba ya mbao ina lungulaka araka zaidi kuliko nyumba ya majiwe.
Le scientifique est connu non seulement au Japon, mais également à l'étranger.	Mwanasayansi anajulikani sio tu Japani, bali pia nje ya nchi.	Mwanasayansi anajulikani sio tu Japani, bali pia nje ya nchi.
Le soldat authentique ne lutte pas parce qu'il déteste ce qui est devant lui, mais parce qu'il aime ce qu'il a derrière-lui.	Askari wa kweli hagombani kwa sababu anachukia kyenye kiko mbele yake, lakini kwa sababu anapenda kyenye kiko nyuma yake.	Askari wa kweli hagombani kwa sababu anachukia kyenye kiko mbele yake, lakini kwa sababu anapenda kyenye kiko nyuma yake.
Il essaya d'être courageux tandis qu'il était pris en otage.	Alijaribu kuwa jasiri wakati ali kuwa ame kamatiwa mateka.	Alijaribu kuwa jasiri wakati ali kuwa ame kamatiwa mateka.
Monica n'a pas beaucoup étudié.	Monica hakusoma sana	Monica hakusoma sana
Nicole sait très bien parler japonais.	Nicole anajua ku ongea kijapani vizuri	Nicole anajua ku ongea kijapani vizuri
Ne vous frottez jamais les yeux après avoir coupé un piment.	Usi sukule macho yako baada ya kukata pilipili.	Usi sukule macho yako baada ya kukata pilipili.
Après que sa femme l'ait quitté, Harold est devenu fou.	Baada ya bibi yake kuachana naye, Harold alipata bazimu.	Baada ya bibi yake kuachana naye, Harold alipata bazimu.
Tous les gens devraient découvrir les joies du partage par eux-mêmes.	Batu yote banapashwa kupata furaha ya kushiriki bopeke.	Batu yote banapashwa kupata furaha ya kushiriki bopeke.
"""Superman"" sort ce mois-ci au cinéma."	"""Superman"" ata tokelea hii mwezi ku sinema."	"""Superman"" ata tokelea hii mwezi ku sinema."
Je viens d'écrire une appréciation négative au sujet de cette agence immobilière.	Niliandika maoni mubaya kuhusu hii shirika ya mali isiyo hamishika.	Niliandika maoni mubaya kuhusu hii shirika ya mali isiyo hamishika.
Un sot trouve toujours un plus sot qui l'admire.	Kila pumbafu anapataka pumbafu mwenye ana mu itikaka.	Kila pumbafu anapataka pumbafu mwenye ana mu itikaka.
Les Russes copient les mœurs françaises, mais toujours à cinquante ans de distance.	Warusi huiga mila za Ufaransa, lakini bado kwa umbali wa miaka makumi tano	Warusi huiga mila za Ufaransa, lakini bado kwa umbali wa miaka makumi tano
S'il vous plait mettez-moi en relation avec Mr Smith.	Tafazali ni unganishe na bwana Smith	Tafazali ni unganishe na bwana Smith
La criminalité est certainement en progression dans plusieurs de nos grandes villes.	Bubandi buna ongezeka mu mingini yetu mukubwa	Bubandi buna ongezeka mu mingini yetu mukubwa
Qui est le garçon qui joue le rôle de Peter Pan ?	Ni kiyana gani mwenye ana cheza na fasi ya Peter Pan?	Ni kiyana gani mwenye ana cheza na fasi ya Peter Pan?
Un dollar est égal à cent cents.	Dola moya ni sawa na senti mia moya.	Dola moya ni sawa na senti mia moya.
Je n'ai pas assez de mémoire RAM.	Sina RAM memoire za mingi.	Sina RAM memoire za mingi.
Je vis dans un petit village à cinquante kilomètres de la capitale polonaise.	Nina ishi mu ka mungini kaloko kenye kiko ku kilometre makumi tano mbali na mungini mukubwa wa Polandi	Nina ishi mu ka mungini kaloko kenye kiko ku kilometre makumi tano mbali na mungini mukubwa wa Polandi
Le capitaine donna l'ordre d'abandonner le navire.	Nahoza alitoa agizo la kuachana na meli.	Nahoza alitoa agizo la kuachana na meli.
Il fut envoyé au combat.	Alipelekewa ku vita	Alipelekewa ku vita
Les noms sont dans l'ordre d'entrée sur scène des acteurs.	Majina ziko katika mupangilio wa ku ingia kwa ukumbi wa wachezaji.	Majina ziko katika mupangilio wa ku ingia kwa ukumbi wa wachezaji.
Il arriva chez lui un peu avant cinq heures.	Alifika kunyumba yake mapema kidogo mbele ya saa tano asubui.	Alifika kunyumba yake mapema kidogo mbele ya saa tano asubui.
Un mensonge peut voyager jusqu'aux antipodes pendant que la vérité en est encore à lacer ses chaussures.	Bongo inaweza kusafiri kwenda mbali zaidi wakati ukweli bado unafunga kamba ya viatu vyake.	Bongo inaweza kusafiri kwenda mbali zaidi wakati ukweli bado unafunga kamba ya viatu vyake.
Il a été élu roi du bal de fin d'année.	Alichaguliwa mfalme wa kabumbu wa mwisho wa mwaka.	Alichaguliwa mfalme wa kabumbu wa mwisho wa mwaka.
Je prends ces pastilles quand j'ai la gorge sèche.	Na kunywaka hii dawa wakati koo yangu imekauka.	Na kunywaka hii dawa wakati koo yangu imekauka.
Chaque étudiant masculin a le symbole de l'école sur sa casquette.	Kila mwanafunzi mwana ume ana alama ya shule kwa kofia yake.	Kila mwanafunzi mwana ume ana alama ya shule kwa kofia yake.
Je n'utiliserais pas une machine à laver dont l'interrupteur est défectueux.	Sita weza kutumia mashine ya kuosha na wakati swichi ni mubaya	Sita weza kutumia mashine ya kuosha na wakati swichi ni mubaya
L'or est le souverain des souverains.	Zahabu ni ufalme wa watawala.	Zahabu ni ufalme wa watawala.
L'absence de preuve du contraire est elle-même la preuve que votre théorie est probablement vraie.	Kukosa ushahidi kwa tofauti hiyo yenyewe ni uthibitisho kwamba nadharia yako labda ni kweli	Kukosa ushahidi kwa tofauti hiyo yenyewe ni uthibitisho kwamba nadharia yako labda ni kweli
Si le lion est le roi des animaux, l'aigle est le roi des oiseaux.	Ikiwa simba ndiye mufalme wa wanyama, tai ndiye mufalme wa ndege.	Ikiwa simba ndiye mufalme wa wanyama, tai ndiye mufalme wa ndege.
Ce produit chimique est extrèmement dangereux.	Kemikali hii ni hatari sana.	Kemikali hii ni hatari sana.
Il était sur le point de réussir.	Alikuwa karibu kabisa kufaulu.	Alikuwa karibu kabisa kufaulu.
Tu détournes tout ce que je dis.	Unapotosha kila kitu kyenye ninasema.	Unapotosha kila kitu kyenye ninasema.
Regarde là !	Angalia pale	Angalia pale
Veuillez dire adieu, Madame, à votre époux.	Tafazali sema kwaheri, mama, kwa bwana yako.	Tafazali sema kwaheri, mama, kwa bwana yako.
N'essayez pas de couvrir le ciel entier de la paume de votre main.	Usijaribu kufunika anga yote na kiganja cha mukono yako.	Usijaribu kufunika anga yote na kiganja cha mukono yako.
Le juge prononça une peine de cinq ans de travaux forcés.	Jaji alitoa azabu ya miaka tano ya kazi za nguvu.	Jaji alitoa azabu ya miaka tano ya kazi za nguvu.
Tom a commencé à siffler un air.	Tom alianza kupika filimbi.	Tom alianza kupika filimbi.
L'Irlandaise, qui écrit en irlandais, est écrivain.	Mwanamuke wa Irlande, anayeandika kwa luga ya Irlande, ni mwandishi.	Mwanamuke wa Irlande, anayeandika kwa luga ya Irlande, ni mwandishi.
Je sais que son oncle va lui présenter une femme.	Minajua muyomba yake atamuonesha mwanamuke.	Minajua muyomba yake atamuonesha mwanamuke.
Pierre croit encore au Père Noël. En revanche, son fils n'y croit plus.	Pierre bado anamwamini baba wa noeli Kwa upande ingine, mutoto wake haamini tena.	Pierre bado anamwamini baba wa noeli Kwa upande ingine, mutoto wake haamini tena.
Malheureusement, l'hôtel que tu as proposé était complet.	Kwa bahati mubaya, hotel yenye ulishauria ilikuwa nayala.	Kwa bahati mubaya, hotel yenye ulishauria ilikuwa nayala.
Les Allemands n'ont pas le sens de l'humour ? Ça ne m'amuse pas du tout !	Wajerumani habana hisia za kuchekesha? Hainifurahishi hata kidogo!	Wajerumani habana hisia za kuchekesha? Hainifurahishi hata kidogo!
La solution rapide et efficace pour trouver le job de vos rêves !	Suluhisho ya haraka na bora kupata kazi ya ndoto zako!	Suluhisho ya haraka na bora kupata kazi ya ndoto zako!
Nous autres adultes ne détruisons pas les facultés intelligentes et créatrices des enfants.	Shie batu bazima hatuangamizi ustadi na ubunifu wa watoto.	Shie batu bazima hatuangamizi ustadi na ubunifu wa watoto.
Une bonne équipe est un groupe d'individus qui travaillent ensemble à atteindre un objectif commun.	Timu ya muzuri ni kikundi kya batu benye banafanya kazi pamoja kufikia lengo moya.	Timu ya muzuri ni kikundi kya batu benye banafanya kazi pamoja kufikia lengo moya.
L'hiver semble s'attarder cette année beaucoup plus longtemps que d'habitude.	Musimu wa baridi unaonekana kuwa murefu zaidi kuliko kawaida.	Musimu wa baridi unaonekana kuwa murefu zaidi kuliko kawaida.
Chaque journée est une petite vie : chaque réveil et chaque lever est une petite naissance, chaque nouveau matin en est la jeunesse, chaque repos ou endormissement est une petite mort.	Kila siku ni maisha madogo: kila kuamka na kila kuinuka ni kuzaliwa kidogo, kila asubuhi mupya ni buyana yake, kila kupumzika au kulala usingizi ni kifo kidogo.	Kila siku ni maisha madogo: kila kuamka na kila kuinuka ni kuzaliwa kidogo, kila asubuhi mupya ni buyana yake, kila kupumzika au kulala usingizi ni kifo kidogo.
Messieurs, démarrez vos moteurs.	Wandugu, wakisha injini zenu	Wandugu, wakisha injini zenu
Cet homme cruel fouetta son chien.	Huyu mutu mukatili alichapa imbwa yake.	Huyu mutu mukatili alichapa imbwa yake.
Le cancer peut être facilement guéri s'il est détecté dans sa phase initiale.	Saratani inaweza kutunziwa kwa urahisi ikiwa inagunduliwa katika awamu yake ya kwanza	Saratani inaweza kutunziwa kwa urahisi ikiwa inagunduliwa katika awamu yake ya kwanza
Un bon rayon de soleil, froid et sec, voilà un beau temps d'hiver !	Rangi muzuri ya jua, baridi na kavu, hii ni hali ya hewa muzuri ya wakati ya baridi!	Rangi muzuri ya jua, baridi na kavu, hii ni hali ya hewa muzuri ya wakati ya baridi!
Dans un vaste espace laissé libre entre la foule et le feu, une jeune fille dansait.	Katika nafasi mukubwa yenye ili achwa wazi kati ya kundi na moto, musichana mudogo alikuwa akicheza.	Katika nafasi mukubwa yenye ili achwa wazi kati ya kundi na moto, musichana mudogo alikuwa akicheza.
Tom est un imbécile.	Tom ni mupumbafu	Tom ni mupumbafu
C'est au pied du mur que l'on connait le maçon.	Ni chini ya ukuta ambao tuna mujua fundi wa kujenga.	Ni chini ya ukuta ambao tuna mujua fundi wa kujenga.
Tout le monde a adopté une attitude hostile envers les immigrés clandestins.	Kila mutu amepitisha mutazamo wa uhasama kwa wahamiaji haramu.	Kila mutu amepitisha mutazamo wa uhasama kwa wahamiaji haramu.
Le cœur sert à pomper du sang.	Moyo una saidia kusukuma damu.	Moyo una saidia kusukuma damu.
En 1860, Lincoln fut élu Président des États-Unis d'Amérique.	Munamo mwaka wa 1860, Lincoln alichaguliwa kuwa Rais wa inchi ya Marikani	Munamo mwaka wa 1860, Lincoln alichaguliwa kuwa Rais wa inchi ya Marikani
Nous aurons besoin d'une agence de chasseurs de têtes pour trouver l'homme qui convient à ce poste de cadre.	Tutahitaji wakala wa kuwinda bichwa kwa kutafuta mutu mwenye ana stahili kwa hi fasi ya mutendaji.	Tutahitaji wakala wa kuwinda bichwa kwa kutafuta mutu mwenye ana stahili kwa hi fasi ya mutendaji.
J'étais impliqué dans une dispute insignifiante.	Nili ji ingiza mu maneno yenye haina maana.	Nili ji ingiza mu maneno yenye haina maana.
Il était terrifié en voyant cette énorme serpent.	Alikua na boga mingi sana wakati aliona hule nyoka mukubwa.	Alikua na boga mingi sana wakati aliona hule nyoka mukubwa.
Tom est en route vers Boston.	Tom iko mu njia kwenda Boston	Tom iko mu njia kwenda Boston
Notre liberté dépend de la liberté de la presse et cela ne peut pas être restreint sans être perdu.	Uhuru yetu unategemea uhuru wa waandishi wa habari na hii haiwezi kupunguzwa bila kupotea.	Uhuru yetu unategemea uhuru wa waandishi wa habari na hii haiwezi kupunguzwa bila kupotea.
« J’arrive maintenant à compter de un à cent en français. » « Waouh, super ! Bon, maintenant, tu peux le faire à l’envers, en partant de cent jusqu’à un ? » « Euh, ça, je peux pas encore. »	«Sasa naweza hesabu kutoka moya hadi mia moya kwa kifaransa.» «Oh, muzuri sana! Sawa, sasa, unaweza kuifanya kwa kuigeuza, ukianzia mia moya hadi moya?» «Uhm, iyi, siwezi bado.»	«Sasa naweza hesabu kutoka moya hadi mia moya kwa kifaransa.» «Oh, muzuri sana! Sawa, sasa, unaweza kuifanya kwa kuigeuza, ukianzia mia moya hadi moya?» «Uhm, iyi, siwezi bado.»
Los Angeles est la deuxième plus grande ville des États-Unis.	Los Angeles njo muji kubwa ya pili ya Marekani.	Los Angeles njo muji kubwa ya pili ya Marekani.
